time,generation,mean age hall_of_fame,mean compl,mean recursive_compl,mean n_params,min mae,min mse,min max_ae,min minus_r2,min mare,min q75_are,min max_are,min ms_processed_e,min minus_spearman,max penalty
11.052566051483154,1.0,0.0,5.666666666666667,21952.0,1.0,1.9485732555586839,8.988860398047844,5.157827972550864,-0.6512604047607076,0.07230803158854841,0.08600772165819091,0.2696141238883627,8.988860398047844,-0.9841269841269841,0.0
16.89976716041565,14.0,10.0,3.6666666666666665,13.0,1.0,1.3036929711186886,3.5324279251532382,7.027983354627878,-0.8629528738595772,0.04639799913237019,0.052940232643705884,0.17477335091017196,3.5324279251532382,-0.9841269841269841,0.0
22.010075092315674,31.0,9.0,6.166666666666667,31.666666666666668,1.6666666666666667,0.4382669999632642,0.28878293262145854,1.1122823960102615,-0.9887961278098951,0.01785535549638146,0.026523640015291006,0.04036693351875711,0.28878293262145854,-0.9841269841269841,0.0
27.181162118911743,49.0,12.4,10.7,7.1304395e6,2.0,0.43822216756530025,0.288752302609588,1.1122359745452037,-0.9887973161583029,0.01785311185989188,0.02652233379712126,0.04036524879174844,0.288752302609588,-0.9841269841269841,0.0
32.39978504180908,61.0,15.133333333333333,15.266666666666667,4.919206812987845e18,2.4,0.43782486463666004,0.2815805736858625,1.1113456815936829,-0.9890755567506887,0.017841480345046044,0.026112310321067124,0.0403329382953177,0.2815805736858625,-0.9841269841269841,0.0
37.54210019111633,75.0,37.833333333333336,6.0,12.5,1.6666666666666667,0.4382669999098504,0.27779992141444293,1.1104714008001757,-0.9892222342030564,0.017855355494620445,0.0257265113477764,0.04030120891184923,0.27779992141444293,-0.9841269841269841,0.0
42.86241006851196,89.0,37.57142857142857,8.0,46.857142857142854,2.0,0.4113661322370678,0.274342078629089,1.1104714008001757,-0.9893563876596646,0.016685094459519885,0.022586036325952505,0.04030120891184923,0.274342078629089,-0.9841269841269841,0.0
47.89481520652771,101.0,34.5,8.75,69.125,2.375,0.40978171844582606,0.2723315627351173,1.1104714008001757,-0.9894343893715655,0.016646351256423,0.0221897744632788,0.04030120891184923,0.2723315627351173,-0.9841269841269841,0.0
52.911243200302124,112.0,44.25,8.75,69.125,2.375,0.408207401778056,0.2723315627351173,1.1104714008001757,-0.9894343893715655,0.016611010692998893,0.022770305786140838,0.04030120891184923,0.2723315627351173,-0.9841269841269841,0.0
58.15311121940613,123.0,44.6,12.3,Inf,2.3,0.40574556614393725,0.2612160540222058,1.1104714008001757,-0.989865636252456,0.016611070802902795,0.022769968583572324,0.04030120891184923,0.2612160540222058,-0.9841269841269841,0.0
63.339325189590454,134.0,49.72727272727273,13.181818181818182,Inf,2.727272727272727,0.39651426397648676,0.2492596194494343,1.1104714008001757,-0.9903295084196464,0.016380966181085525,0.022045881342981646,0.04030120891184923,0.2492596194494343,-0.9841269841269841,0.0
68.74687099456787,145.0,59.5,12.2,Inf,2.4,0.39645118071435187,0.2491952968526162,1.1104714008001757,-0.9903320039346935,0.016378612507721747,0.02204806597977956,0.04030120891184923,0.2491952968526162,-0.9841269841269841,0.0
73.88663816452026,155.0,61.7,12.2,Inf,2.4,0.39640454334071046,0.24914789496163275,1.1104714008001757,-0.9903338429794157,0.016030880139951263,0.022049681370164862,0.04030120891184923,0.24914789496163275,-0.9841269841269841,0.0
79.27908706665039,163.0,61.72727272727273,12.090909090909092,Inf,2.4545454545454546,0.39635847543319336,0.24910119962173957,1.1104714008001757,-0.9903356546121715,0.01603221869882632,0.022051277205550016,0.04030120891184923,0.24910119962173957,-0.9841269841269841,0.0
84.78427505493164,173.0,63.5,11.1,Inf,2.2,0.3963129703577316,0.24905519942073884,1.1105171236758693,-0.9903374392757182,0.016373455457335904,0.022052853703750288,0.04030286828566476,0.24905519942073884,-0.9841269841269841,0.0
90.24195408821106,183.0,72.2,11.1,Inf,2.2,0.396282943080522,0.24902491326308082,1.1105171236758693,-0.9903386142836608,0.01637233496682649,0.02205389406631702,0.04030286828566476,0.24902491326308082,-0.9841269841269841,0.0
95.26248502731323,192.0,59.333333333333336,12.166666666666666,Inf,2.25,0.39625316110365844,0.2489949277947455,1.1105171236758693,-0.9903397776258006,0.016371223601339493,0.022054925993969125,0.04030286828566476,0.2489949277947455,-0.9841269841269841,0.0
100.4921510219574,201.0,64.5,11.5,Inf,2.3333333333333335,0.3922704288963805,0.24529354828575414,1.1105171236758693,-0.990483379543578,0.016225178588380587,0.022007053990453475,0.04030286828566476,0.24529354828575414,-0.9841269841269841,0.0
105.78170418739319,210.0,68.38461538461539,12.461538461538462,Inf,2.6153846153846154,0.38073836857424714,0.24529354828575414,1.1105171236758693,-0.990483379543578,0.015250296255987868,0.021317852042923698,0.04030286828566476,0.24529354828575414,-0.9847374847374848,0.0
111.13152313232422,219.0,69.91666666666667,12.416666666666666,Inf,2.4166666666666665,0.38073836857424714,0.24529354828575414,1.1122790392007431,-0.990483379543578,0.015250296255987868,0.021317852042923698,0.040366811693484,0.24529354828575414,-0.9847374847374848,0.0
116.54937219619751,228.0,93.66666666666667,8.555555555555555,Inf,1.7777777777777777,0.39856836019123393,0.24512607701703468,1.1122790392007431,-0.9904898769036304,0.016377402647137107,0.023036714073828193,0.040366811693484,0.24512607701703468,-0.9841269841269841,0.0
121.82816505432129,237.0,102.66666666666667,8.555555555555555,Inf,1.7777777777777777,0.39856836019123393,0.24512607701703468,1.1122790392007431,-0.9904898769036304,0.016377402647137107,0.023036714073828193,0.040366811693484,0.24512607701703468,-0.9841269841269841,0.0
127.0089180469513,246.0,80.1,10.1,Inf,2.0,0.3853908224806033,0.2336408739682565,1.1122790392007431,-0.9909354667654268,0.016062562534026586,0.022220151027580785,0.040366811693484,0.2336408739682565,-0.9841269841269841,0.0
132.2381510734558,255.0,89.1,10.1,Inf,2.0,0.3853908224806033,0.2336408739682565,1.1122790392007431,-0.9909354667654268,0.016062562534026586,0.022220151027580785,0.040366811693484,0.2336408739682565,-0.9841269841269841,0.0
137.6074390411377,264.0,98.1,10.1,Inf,2.0,0.3853908224806033,0.2336408739682565,1.1122790392007431,-0.9909354667654268,0.016062562534026586,0.022220151027580785,0.040366811693484,0.2336408739682565,-0.9841269841269841,0.0
142.90623211860657,273.0,101.2,10.1,Inf,2.0,0.3853908224806033,0.2336408739682565,1.1122790392007431,-0.9909354667654268,0.016062562534026586,0.022220151027580785,0.040366811693484,0.2336408739682565,-0.9841269841269841,0.0
