time,generation,mean age hall_of_fame,mean compl,mean recursive_compl,mean n_params,min mae,min mse,min max_ae,min minus_r2,min mare,min q75_are,min max_are,min ms_processed_e,min minus_spearman,max penalty
11.942281007766724,1.0,0.0,7.777777777777778,15698.444444444445,1.0,1.847481901625819e26,6.4644662715332806e53,4.3239233362491224e27,-0.1166086220757212,0.9848587007893461,0.9999999999647643,0.9999999999999654,6.4644662715332806e53,-0.9256952169076752,8.0
18.06876492500305,22.0,7.571428571428571,6.142857142857143,49.142857142857146,1.0,3.4341047763356488e25,1.664005041758897e52,6.809564188477348e26,-0.9772608032130132,1.23137217995572,0.9999999999998329,8.343015685512421,1.664005041758897e52,-0.9256952169076752,4.0
23.14709782600403,43.0,7.857142857142857,11.5,599225.4285714285,1.7857142857142858,2.5484518508360694e25,9.082439712937514e51,3.736148898396861e26,-0.9875885361669262,1.23137217995572,0.9999999999999942,8.343015685512421,9.082439712937514e51,-0.9804226918798665,4.5
28.318981885910034,68.0,17.071428571428573,10.428571428571429,6.616690813560925e76,1.3571428571428572,3.094117124166889e25,4.4439777370350677e51,2.0124269650509847e26,-0.9939271527583466,1.23137217995572,0.9999999999999942,8.343015685512421,4.4439777370350677e51,-0.9256952169076752,4.0
33.40343689918518,88.0,35.625,6.0,15.0,0.875,5.245890745819983e10,2.8412107945869153e22,6.8719476736e11,-1.0,1.5308515782313369e-15,1.834297793048202e-15,4.691493385756819e-15,2.8412107945869153e22,-1.0,3.0
38.539795875549316,115.0,53.875,6.0,16.0,0.875,5.245890745819983e10,2.8412107945869153e22,6.8719476736e11,-1.0,1.5308515782313369e-15,1.834297793048202e-15,4.691493385756819e-15,2.8412107945869153e22,-1.0,3.0
43.58948493003845,140.0,57.5,6.0,16.25,0.875,5.24409243392623e10,2.841186774649481e22,6.8719476736e11,-1.0,1.4979317687101528e-15,1.834297793048202e-15,4.691493385756819e-15,2.841186774649481e22,-1.0,3.0
48.665175914764404,159.0,62.375,6.0,16.25,0.875,4.766224711950682e10,2.304621905212903e22,6.18475290624e11,-1.0,1.3439873411186117e-15,1.6631770247267805e-15,4.5038336503265464e-15,2.304621905212903e22,-1.0,3.0
53.67498302459717,185.0,71.125,6.0,16.25,0.875,4.766224711950682e10,2.304621905212903e22,6.18475290624e11,-1.0,1.3439873411186117e-15,1.6631770247267805e-15,4.5038336503265464e-15,2.304621905212903e22,-1.0,3.0
58.79124093055725,210.0,81.11111111111111,7.0,20.22222222222222,1.0,3.154514460156994e10,1.3729096959654942e22,6.18475290624e11,-1.0,1.3439873411186117e-15,1.6631770247267805e-15,4.5038336503265464e-15,1.3729096959654942e22,-1.0,3.0
63.79857802391052,234.0,102.55555555555556,7.0,20.22222222222222,1.0,2.9401352828030632e10,1.3586268202006582e22,6.18475290624e11,-1.0,1.3439873411186117e-15,1.6631770247267805e-15,4.5038336503265464e-15,1.3586268202006582e22,-1.0,3.0
68.95117282867432,260.0,76.0909090909091,8.272727272727273,42.27272727272727,1.0,2.9401352828030632e10,1.3315592617610386e22,5.49755813888e11,-1.0,1.3439873411186117e-15,1.6631770247267805e-15,4.5038336503265464e-15,1.3315592617610386e22,-1.0,3.0
74.03378295898438,287.0,55.5,14.6,Inf,1.3,2.678631419267259e10,1.0974005482517307e22,4.12316860416e11,-1.0,1.3439873411186117e-15,1.6631770247267805e-15,4.5038336503265464e-15,1.0974005482517307e22,-1.0,4.0
79.22362995147705,315.0,58.333333333333336,13.761904761904763,2.4444300476190476e6,1.4285714285714286,2.6774870501489296e10,1.0546479993263711e22,4.81036337152e11,-1.0,1.374626344902542e-15,1.6631770247267805e-15,4.5038336503265464e-15,1.0546479993263711e22,-1.0,4.0
84.38054203987122,343.0,73.1304347826087,14.173913043478262,146201.34782608695,1.5217391304347827,2.2856257410713234e10,9.800269072394344e21,4.12316860416e11,-1.0,1.374626344902542e-15,1.6631770247267805e-15,4.5038336503265464e-15,9.800269072394344e21,-1.0,4.0
89.53497791290283,372.0,81.875,15.25,2849.9166666666665,1.625,2.1914802194553238e10,8.971806128170998e21,4.12316860416e11,-1.0,1.374626344902542e-15,1.5774565455076839e-15,4.5038336503265464e-15,8.971806128170998e21,-1.0,4.0
94.66103291511536,400.0,106.38888888888889,13.166666666666666,3.479064277777778e6,1.3888888888888888,2.5612693064169025e10,8.50105976569432e21,4.12316860416e11,-1.0,1.374626344902542e-15,1.5774565455076839e-15,4.5038336503265464e-15,8.50105976569432e21,-1.0,3.0
99.81682682037354,427.0,105.19047619047619,15.238095238095237,1.8612102797442856e11,1.4761904761904763,2.4540179095427246e10,7.902805405540867e21,4.12316860416e11,-1.0,1.374626344902542e-15,1.5774565455076839e-15,4.5038336503265464e-15,7.902805405540867e21,-1.0,4.0
104.87402105331421,453.0,119.22727272727273,14.863636363636363,8.171332431192344e306,1.4545454545454546,2.5612693064169025e10,7.369969947013613e21,3.4359738368e11,-1.0,1.374626344902542e-15,1.5774565455076839e-15,4.5038336503265464e-15,7.369969947013613e21,-1.0,4.0
109.87504291534424,479.0,141.04761904761904,14.285714285714286,8.560443499344361e306,1.380952380952381,2.4400119314378193e10,7.369969947013613e21,3.4359738368e11,-1.0,1.374626344902542e-15,1.5774565455076839e-15,4.5038336503265464e-15,7.369969947013613e21,-1.0,4.0
114.91979193687439,505.0,160.22222222222223,13.222222222222221,9.987184082568421e306,1.3333333333333333,2.6523351801138416e10,7.142611367986056e21,3.4359738368e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,7.142611367986056e21,-1.0,3.0
119.98137903213501,531.0,159.4,13.85,8.988465674311579e306,1.45,2.4597990058310974e10,6.625412872286329e21,4.12316860416e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,6.625412872286329e21,-1.0,3.0
125.08631682395935,557.0,171.71428571428572,14.285714285714286,8.560443499344361e306,1.4761904761904763,2.441725958399523e10,6.584086573171679e21,4.12316860416e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,6.584086573171679e21,-1.0,3.0
130.17482495307922,583.0,180.14285714285714,14.285714285714286,8.560443499344361e306,1.4761904761904763,2.4045212954821056e10,6.573844398703648e21,4.12316860416e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,6.573844398703648e21,-1.0,3.0
135.1981999874115,609.0,195.15,13.7,2.381976568446569e38,1.45,1.990491792962512e10,6.011275539557201e21,4.12316860416e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,6.011275539557201e21,-1.0,4.0
140.3195698261261,635.0,169.8,15.56,7.190772539449263e306,1.56,1.990491792962512e10,5.586452783589427e21,3.4359738368e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,5.586452783589427e21,-1.0,4.0
145.4284918308258,661.0,192.52173913043478,14.956521739130435,Inf,1.5217391304347827,1.990491792962512e10,4.815930581470597e21,3.4359738368e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,4.815930581470597e21,-1.0,3.0
150.47252082824707,687.0,205.34782608695653,15.652173913043478,Inf,1.608695652173913,1.8801199454307053e10,4.815930581470597e21,3.4359738368e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,4.815930581470597e21,-1.0,3.0
155.56910586357117,713.0,214.45833333333334,15.75,Inf,1.5833333333333333,1.885237508372089e10,4.802779059281092e21,3.4359738368e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,4.802779059281092e21,-1.0,3.0
160.66196584701538,739.0,214.23076923076923,16.576923076923077,Inf,1.7307692307692308,1.8850787850138992e10,4.469286726168107e21,3.4359738368e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,4.469286726168107e21,-1.0,3.0
165.7929859161377,765.0,241.70833333333334,15.958333333333334,Inf,1.6666666666666667,1.8850787850138992e10,4.4662813274293566e21,3.4359738368e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,4.4662813274293566e21,-1.0,4.0
170.97117590904236,791.0,263.7916666666667,15.958333333333334,Inf,1.6666666666666667,1.8850787850138992e10,4.4662813274293566e21,3.4359738368e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,4.4662813274293566e21,-1.0,4.0
176.08962392807007,817.0,265.4230769230769,16.53846153846154,Inf,1.7692307692307692,1.877916313840911e10,4.4662813274293566e21,3.4359738368e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,4.4662813274293566e21,-1.0,4.0
181.25466203689575,843.0,288.53846153846155,16.53846153846154,Inf,1.7692307692307692,1.877916313840911e10,4.4662813274293566e21,3.4359738368e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,4.4662813274293566e21,-1.0,4.0
186.34405493736267,869.0,303.81481481481484,16.77777777777778,Inf,1.8148148148148149,1.877916313840911e10,4.4662813274293566e21,3.4359738368e11,-1.0,1.2838770151556464e-15,1.5356808569387471e-15,4.316173914896274e-15,4.4662813274293566e21,-1.0,4.0
