time,generation,mean age hall_of_fame,mean compl,mean custom_compl,mean n_params,min mae,min mse,min max_ae,min minus_r2,min mare,min q75_are,min max_are,min ms_processed_e,min minus_spearman,max penalty
893.1232209205627,20.0,6.333333333333333,14.333333333333334,15.75,2.5833333333333335,0.021496223071884472,0.0012675129904370457,0.2561611538101694,-0.577193388584005,1.0008694396631979,0.9681182443179686,6.2299044697466766,0.0012675129904370457,-0.8334745517441055,2.0
943.2088420391083,21.0,7.25,14.333333333333334,15.75,2.5833333333333335,0.02159541667176361,0.0012618823444511165,0.2561611538101694,-0.5790716133969696,1.0008694396631979,0.9632724575670093,6.2299044697466766,0.0012618823444511165,-0.8334745517441055,2.0
994.5955209732056,22.0,7.833333333333333,14.25,15.583333333333334,2.5833333333333335,0.021496223071881124,0.0012618823444511165,0.2561611538101694,-0.5790716133969696,1.0008694396631979,0.9632724575670093,6.2299044697466766,0.0012618823444511165,-0.8334745517441055,2.0
1052.0597879886627,23.0,7.916666666666667,13.583333333333334,14.666666666666666,2.3333333333333335,0.021496223071881124,0.0012618823444511165,0.2573084044738233,-0.5790716133969696,1.0008694396631979,0.9632724575670093,6.2299044697466766,0.0012618823444511165,-0.8334745517441055,2.0
1115.0329389572144,24.0,7.142857142857143,14.785714285714286,15.928571428571429,2.642857142857143,0.021496223071881124,0.0012618823444511165,0.2573084044738233,-0.5790716133969696,1.0008694396631979,0.9632724575670093,6.2299044697466766,0.0012618823444511165,-0.8334745517441055,2.0
1172.918142080307,25.0,6.277777777777778,17.22222222222222,18.444444444444443,3.0,0.02098866661822196,0.0011628493418630096,0.2568698911669687,-0.6121062320230014,1.0008694396631979,0.9296108795401651,6.2299044697466766,0.0011628493418630096,-0.8334745517441055,3.0
1231.2002971172333,26.0,6.888888888888889,15.777777777777779,17.166666666666668,2.7222222222222223,0.01939060174638302,0.0008825038504877745,0.24799403945289722,-0.7056215869964007,1.0008694396631979,0.9296108795401651,6.2299044697466766,0.0008825038504877745,-0.8334745517441055,3.0
1296.393716096878,27.0,5.615384615384615,12.846153846153847,14.076923076923077,2.3076923076923075,0.01939060174638302,0.0008825038504877745,0.24799403945289722,-0.7056215869964007,1.000944112847098,1.0025354459814824,6.735974862366621,0.0008825038504877745,-0.8334745517441055,1.0
1361.7880940437317,28.0,5.466666666666667,13.6,14.733333333333333,2.533333333333333,0.01614201461668041,0.0007643597860047772,0.24799403945289722,-0.7450311172653924,1.000944112847098,0.8121167898864314,6.735974862366621,0.0007643597860047772,-0.8351551130456213,1.0
1427.0753989219666,29.0,6.2,13.6,14.733333333333333,2.533333333333333,0.016113830693797522,0.0007617390183057169,0.24799403945289722,-0.745905331508961,1.000944112847098,0.8099424422343133,6.735974862366621,0.0007617390183057169,-0.8354017800606692,1.0
1490.3711500167847,30.0,6.25,14.0,15.25,2.5,0.016113830693797522,0.0007617390183057169,0.24799403945289722,-0.745905331508961,1.000944112847098,0.8099424422343133,6.735974862366621,0.0007617390183057169,-0.8354017800606692,2.0
1555.0787420272827,31.0,7.1875,14.0,15.25,2.5,0.016113830693797522,0.0007617390183057169,0.24799403945289722,-0.745905331508961,1.000944112847098,0.8099424422343133,6.735974862366621,0.0007617390183057169,-0.8354017800606692,2.0
1621.3222830295563,32.0,7.588235294117647,14.647058823529411,15.823529411764707,2.588235294117647,0.016113830693797522,0.0007617390183057169,0.24799403945289722,-0.745905331508961,1.000944112847098,0.8099424422343133,6.735974862366621,0.0007617390183057169,-0.8354017800606692,2.0
1687.8278629779816,33.0,7.421052631578948,15.210526315789474,16.31578947368421,2.6315789473684212,0.016113830693797522,0.0007617390183057169,0.24799403945289722,-0.745905331508961,1.000944112847098,0.8099424422343133,6.735974862366621,0.0007617390183057169,-0.8354017800606692,2.0
1761.825138092041,34.0,8.421052631578947,15.210526315789474,16.31578947368421,2.6315789473684212,0.016113830693797522,0.0007617390183057169,0.24799403945289722,-0.745905331508961,1.000944112847098,0.8099424422343133,6.735974862366621,0.0007617390183057169,-0.8354017800606692,2.0
1833.1043620109558,35.0,9.277777777777779,15.166666666666666,16.333333333333332,2.7777777777777777,0.016113830693797522,0.0007141850260702529,0.2454278244331726,-0.7617680031092309,1.000944112847098,0.8099424422343133,6.735974862366621,0.0007141850260702529,-0.841870980068506,2.0
1905.9830701351166,36.0,9.88888888888889,14.88888888888889,16.166666666666668,2.8333333333333335,0.016113830693797522,0.0007141850260702529,0.2454278244331726,-0.7617680031092309,1.000944112847098,0.8099424422343133,6.735974862366621,0.0007141850260702529,-0.841870980068506,2.0
1976.0625920295715,37.0,10.105263157894736,15.210526315789474,16.42105263157895,2.789473684210526,0.016113830693797522,0.0007141850260702529,0.24799403945289722,-0.7617680031092309,1.000944112847098,0.8099424422343133,6.735974862366621,0.0007141850260702529,-0.841870980068506,2.0
2043.0982010364532,38.0,9.85,15.35,16.4,2.95,0.016113830693797522,0.0007141850260702529,0.24799403945289722,-0.7617680031092309,1.000944112847098,0.8099424422343133,6.735974862366621,0.0007141850260702529,-0.841870980068506,2.0
2116.4896841049194,39.0,10.736842105263158,14.736842105263158,15.789473684210526,2.8421052631578947,0.016404531021760572,0.0007141850260702529,0.24799403945289722,-0.7617680031092309,1.000944112847098,0.8896645995426664,6.735974862366621,0.0007141850260702529,-0.841870980068506,2.0
2188.58744096756,40.0,13.214285714285714,11.928571428571429,12.857142857142858,2.5714285714285716,0.016404531021760572,0.0007141850260702529,0.21975197420054096,-0.7617680031092309,1.000944112847098,0.9157890090623593,6.735974862366621,0.0007141850260702529,-0.841870980068506,2.0
2259.0167360305786,41.0,13.571428571428571,11.928571428571429,12.857142857142858,2.5714285714285716,0.016404531021760572,0.0007141850260702529,0.21975197420054096,-0.7617680031092309,1.000944112847098,0.9157890090623593,6.735974862366621,0.0007141850260702529,-0.841870980068506,2.0
2327.1049790382385,42.0,12.733333333333333,12.333333333333334,13.2,2.6666666666666665,0.016404531021760572,0.0007141850260702529,0.21975197420054096,-0.7617680031092309,1.000944112847098,0.9157890090623593,6.735974862366621,0.0007141850260702529,-0.841870980068506,2.0
