time_stamp,run,compl,age,dim_penalty,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
1792.9998619556427,1,6.0,16.0,0.0,-0.9757575757575757,0.0651517621553929,0.13940503571576507,0.05067049423096463,1.43(0.00927 + sqrt(abs(v1^3)))
1772.6268711090088,3,6.0,73.0,0.0,-0.9757575757575757,0.066888042480314,0.17442019965732958,0.06023837217992127,1.44sqrt(abs(-0.00836 - (v1^3)))
370.1040790081024,11,6.0,3551.0,0.0,-0.9757575757575757,0.07142499317881851,0.14518534013282006,0.049687748056918155,1.43(sqrt(abs(-0.018 - v1))^3)
1791.3252959251404,12,6.0,24.0,0.0,-0.9757575757575757,0.07455477850484049,0.16405016820847235,0.05234426108020209,1.43sqrt(abs((0.0202 + v1)^3))
1794.4679939746857,17,6.0,14.0,0.0,-0.9757575757575757,0.07398102704643081,0.1471335762806446,0.049647550334627345,1.42(sqrt(abs(-0.0222 - v1))^3)
1787.4669032096863,18,6.0,28.0,0.0,-0.9757575757575757,0.07615028681391947,0.14833643334320598,0.05031299074023704,1.43(0.0317 + sqrt(abs(v1))^3)
1790.4501929283142,19,6.0,27.0,0.0,-0.9757575757575757,0.06504693504389852,0.17072537644846797,0.05892641734375179,1.44(0.00252 + sqrt(abs(v1))^3)
1013.53937292099,20,6.0,1398.0,0.0,-0.9757575757575757,0.07211421729825282,0.14444089395534399,0.050270187164242516,-1.43(-0.0236 - sqrt(abs(v1^3)))
1734.4766700267792,23,6.0,162.0,0.0,-0.9757575757575757,0.07639945363924008,0.1549815564220152,0.05070397557585034,-1.43(-0.0308 - (sqrt(abs(v1))^3))
695.0634491443634,24,5.0,2235.0,0.0,-0.9757575757575757,0.06130036030957038,0.14312354885955386,0.051426694741802725,0.506sqrt(abs((8//1)*(v1^3)))
1790.7567348480225,26,6.0,24.0,0.0,-0.9757575757575757,0.05783568381676909,0.18640213404163103,0.07628679162748118,1.42(sqrt(abs(v1 - 0.00351))^3)
1590.6224660873413,27,6.0,458.0,0.0,-0.9757575757575757,0.0724491572333921,0.14544036298137292,0.04965248468936157,1.43sqrt(abs((0.0197 + v1)^3))
1373.4115769863129,28,6.0,950.0,0.0,-0.9757575757575757,0.07157225589430574,0.14571311757145017,0.05027348310650905,1.43(0.0221 + sqrt(abs(v1))^3)
1407.1898770332336,30,5.0,917.0,0.0,-0.9757575757575757,0.06087971551140644,0.13865390410289824,0.05123597746513562,0.506(sqrt(abs(2v1))^3)
