time_stamp,run,compl,age,dim_penalty,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
142.3346710205078,0,8.0,3097.0,0.0,-1.0,2.265878813233308e-15,2.8899959348704076e-14,9.972415474155468e-28,(15.6+(-0.905*log(v1)))
53.97772002220154,1,8.0,3943.0,0.0,-1.0,2.265878813233308e-15,2.8899959348704076e-14,9.972415474155468e-28,((-0.905*log(v1))--15.6)
860.4923629760742,2,8.0,1717.0,0.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,(15.6-(0.905*log(v1)))
1604.5028009414673,3,8.0,422.0,0.0,-1.0,2.2656982137335422e-15,2.8899959348704076e-14,9.894743015795246e-28,(15.6+(-0.905*log(v1)))
718.3078939914703,4,9.0,922.0,0.0,-1.0,2.2391429636816977e-15,2.8558352264204026e-14,9.92993834848972e-28,(15.6+(-0.453*log(pow2(v1))))
561.9142370223999,5,8.0,2929.0,0.0,-1.0,2.2660002112966523e-15,2.8899959348704076e-14,9.853479522291377e-28,((-0.905*log(v1))--15.6)
913.134565114975,6,8.0,1732.0,0.0,-1.0,2.247052958352008e-15,2.862667368110404e-14,9.904452073090272e-28,((-0.905*log(v1))--15.6)
106.37081694602966,7,8.0,3254.0,0.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,(15.6-(0.905*log(v1)))
288.14327812194824,8,8.0,2997.0,0.0,-1.0,2.250214161482117e-15,2.8694995098004045e-14,9.944501934432262e-28,(15.6+(-0.905*log(v1)))
1574.2646930217743,9,8.0,371.0,0.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,(15.6+(-0.905*log(v1)))
309.12453985214233,10,8.0,3395.0,0.0,-1.0,2.2662702558967952e-15,2.8899959348704076e-14,9.996688117393038e-28,(-0.905*log((3.09e-8*v1)))
71.39390707015991,11,8.0,2865.0,0.0,-1.0,2.2614759047668476e-15,2.8831637931804064e-14,9.937220141460991e-28,(15.6-(0.905*log(v1)))
1446.1322798728943,12,8.0,871.0,0.0,-1.0,2.2660002112966523e-15,2.8899959348704076e-14,9.853479522291377e-28,(15.6-(0.905*log(v1)))
1727.237359046936,13,8.0,166.0,0.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,(15.6-(0.905*log(v1)))
1054.0211589336395,14,8.0,1841.0,0.0,-1.0,2.2391429636816977e-15,2.8558352264204026e-14,9.92993834848972e-28,(15.6-(0.905*log(v1)))
516.3101441860199,15,8.0,1478.0,0.0,-1.0,2.2391429636816977e-15,2.8558352264204026e-14,9.92993834848972e-28,(15.6-(0.905*log(v1)))
693.8341910839081,16,8.0,2627.0,0.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,((-0.905*log(v1))--15.6)
1650.6504781246185,17,8.0,297.0,0.0,-1.0,2.2598674935699224e-15,2.8831637931804064e-14,9.837702304186957e-28,(-0.905*log((3.09e-8*v1)))
225.37565112113953,18,8.0,3709.0,0.0,-1.0,2.2656982137335422e-15,2.8899959348704076e-14,9.894743015795246e-28,((-0.905*log(v1))--15.6)
1530.2824351787567,19,8.0,605.0,0.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,(15.6-(0.905*log(v1)))
319.8710129261017,20,8.0,3631.0,0.0,-1.0,2.2425345594673983e-15,2.8558352264204026e-14,9.927511084165965e-28,(15.6+(-0.905*log(v1)))
330.0410039424896,21,8.0,3594.0,0.0,-1.0,2.2656982137335422e-15,2.8899959348704076e-14,9.894743015795246e-28,((-0.905*log(v1))--15.6)
1614.8927772045135,22,8.0,291.0,0.0,-1.0,2.247052958352008e-15,2.862667368110404e-14,9.904452073090272e-28,((-0.905*log(v1))--15.6)
432.2817919254303,23,8.0,3530.0,0.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,(15.6+(-0.905*log(v1)))
637.364982843399,24,11.0,1910.0,0.0,-1.0,2.248242786523546e-15,2.8694995098004045e-14,9.920229291194692e-28,(9.12-(0.905*log((0.000735*v1))))
1791.1152980327606,25,8.0,15.0,0.0,-1.0,2.2614759047668476e-15,2.8831637931804064e-14,9.937220141460991e-28,(15.6+(log(v1)/-1.1))
134.63512301445007,26,8.0,4184.0,0.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,((-0.905*log(v1))--15.6)
171.6882050037384,27,11.0,3293.0,0.0,-1.0,2.2384233219555578e-15,2.849003084730402e-14,9.831634143377565e-28,((17.5-log((1.24*v1)))/1.1)
664.3199138641357,28,8.0,3094.0,0.0,-1.0,2.2660002112966523e-15,2.8899959348704076e-14,9.853479522291377e-28,(15.6+(-0.905*log(v1)))
304.3824508190155,29,8.0,4015.0,0.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,(15.6-(0.905*log(v1)))
1746.439357995987,30,8.0,98.0,0.0,-1.0,2.241849066123483e-15,2.8558352264204026e-14,9.908092969575908e-28,(15.6-(log(v1)/1.1))
