time,generation,mean age hall_of_fame,mean compl,mean recursive_compl,mean n_params,min mae,min mse,min max_ae,min minus_r2,min mare,min q75_are,min max_are,min ms_processed_e,min minus_spearman,max penalty
757.5870358943939,3534.0,1840.6363636363637,11.272727272727273,Inf,2.090909090909091,2.227278190940314e-14,6.711385855187992e-28,4.796163466380676e-14,-1.0,1.711935805919286e-15,2.2559479467756745e-15,3.245437019474288e-15,6.711385855187992e-28,-1.0,0.0
762.6498780250549,3558.0,1862.3636363636363,11.272727272727273,Inf,2.090909090909091,2.227278190940314e-14,6.711385855187992e-28,4.796163466380676e-14,-1.0,1.711935805919286e-15,2.2559479467756745e-15,3.245437019474288e-15,6.711385855187992e-28,-1.0,0.0
767.7402980327606,3582.0,1884.4545454545455,11.272727272727273,Inf,2.090909090909091,2.227278190940314e-14,6.711385855187992e-28,4.796163466380676e-14,-1.0,1.711935805919286e-15,2.2559479467756745e-15,3.245437019474288e-15,6.711385855187992e-28,-1.0,0.0
772.8629639148712,3606.0,1906.5454545454545,11.272727272727273,Inf,2.090909090909091,2.227278190940314e-14,6.711385855187992e-28,4.796163466380676e-14,-1.0,1.711935805919286e-15,2.2559479467756745e-15,3.245437019474288e-15,6.711385855187992e-28,-1.0,0.0
777.9529149532318,3630.0,1927.8181818181818,11.272727272727273,Inf,2.090909090909091,2.227278190940314e-14,6.711385855187992e-28,4.796163466380676e-14,-1.0,1.711935805919286e-15,2.2559479467756745e-15,3.245437019474288e-15,6.711385855187992e-28,-1.0,0.0
783.0825128555298,3654.0,1950.0,11.272727272727273,Inf,2.090909090909091,2.227278190940314e-14,6.711385855187992e-28,4.796163466380676e-14,-1.0,1.711935805919286e-15,2.2559479467756745e-15,3.245437019474288e-15,6.711385855187992e-28,-1.0,0.0
788.1368639469147,3678.0,1971.4545454545455,11.272727272727273,Inf,2.090909090909091,2.227278190940314e-14,6.711385855187992e-28,4.796163466380676e-14,-1.0,1.711935805919286e-15,2.2559479467756745e-15,3.245437019474288e-15,6.711385855187992e-28,-1.0,0.0
793.2351078987122,3702.0,1993.6363636363637,11.272727272727273,Inf,2.090909090909091,2.227278190940314e-14,6.711385855187992e-28,4.796163466380676e-14,-1.0,1.711935805919286e-15,2.2559479467756745e-15,3.245437019474288e-15,6.711385855187992e-28,-1.0,0.0
798.2996048927307,3726.0,2015.090909090909,11.272727272727273,Inf,2.090909090909091,2.227278190940314e-14,6.711385855187992e-28,4.796163466380676e-14,-1.0,1.711935805919286e-15,2.2559479467756745e-15,3.245437019474288e-15,6.711385855187992e-28,-1.0,0.0
803.4968988895416,3751.0,2037.8181818181818,11.272727272727273,Inf,2.090909090909091,2.227278190940314e-14,6.711385855187992e-28,4.796163466380676e-14,-1.0,1.711935805919286e-15,2.2559479467756745e-15,3.245437019474288e-15,6.711385855187992e-28,-1.0,0.0
808.5350399017334,3775.0,2059.6363636363635,11.272727272727273,Inf,2.090909090909091,2.227278190940314e-14,6.711385855187992e-28,4.796163466380676e-14,-1.0,1.711935805919286e-15,2.2559479467756745e-15,3.245437019474288e-15,6.711385855187992e-28,-1.0,0.0
