run,compl,age,dim_penalty,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
0,4.0,2435.0,0,-0.9920634920634921,0.05713245076383183,1.5049021360277341,4.8911981077634845,-1.43log(v1)
1,4.0,1900.0,0,-0.9920634920634921,0.045291882755207895,1.2651578576536175,4.943670900221734,-1.4log(v1)
2,4.0,2920.0,0,-0.9920634920634921,0.05375314483959541,1.4357412780599261,4.865714573246315,-1.42log(v1)
5,4.0,2987.0,0,-0.9920634920634921,0.05597905012832259,1.4812966444502118,4.879037675328521,-1.43log(v1)
8,4.0,327.0,0,-0.9920634920634921,0.05345896303128889,1.4297205546577976,4.8649536251912435,-1.42log(v1)
9,4.0,1541.0,0,-0.9920634920634921,0.05895415873090699,1.5427026095198262,4.916438208084667,-1.43log(v1)
11,4.0,2739.0,0,-0.9920634920634921,0.056398207790863276,1.4898751230535199,4.883041823949228,-1.43log(v1)
14,4.0,3248.0,0,-0.9920634920634921,0.052439194023561266,1.408849967299136,4.864122975809961,-1.42log(v1)
15,4.0,1701.0,0,-0.9920634920634921,0.054558277069391224,1.452219110206122,4.868990892285784,-1.42log(v1)
18,4.0,3718.0,0,-0.9920634920634921,0.05660211440812175,1.4940482748518729,4.885161059413565,-1.43log(v1)
19,4.0,2882.0,0,-0.9920634920634921,0.044050449984702075,1.2409530921207423,4.975175229670287,-1.4log(v1)
22,4.0,1513.0,0,-0.9920634920634921,0.057460095314490756,1.5116077077457395,4.895306961558577,-1.43log(v1)
23,4.0,2280.0,0,-0.9920634920634921,0.055763210552707984,1.4768792727864475,4.877160641236435,-1.43log(v1)
26,4.0,4279.0,0,-0.9920634920634921,0.057103725762187356,1.5043142502892424,4.890851685644167,-1.43log(v1)
28,4.0,1237.0,0,-0.9920634920634921,0.04406358324953167,1.2412091572121713,4.974814516687446,-1.4log(v1)
