run,compl,age,dim_penalty,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
0,5.0,3037.0,0,-0.03452991452991453,0.607626373003463,5.0397580657797505,34.73123055638612,log(2.02e6 / sqrt(abs(v1)))
1,5.0,0.0,0,-0.03452991452991453,0.6037131443217099,5.033945155817031,34.73251314829401,log(1.87e6 / sqrt(abs(v1)))
2,5.0,2682.0,0,-0.03452991452991453,0.6225965630980929,5.061995551554765,34.8317411338755,log(2.69e6 / sqrt(abs(v1)))
3,5.0,5227.0,0,-0.03452991452991453,0.5886754529035343,5.011607400124754,34.84371290652377,14.2 - log(sqrt(abs(v1)))
4,5.0,3.0,0,-0.03452991452991453,0.6036189466675383,5.033805229805308,34.73268479199117,log(1.87e6 / sqrt(abs(v1)))
5,5.0,0.0,0,-0.03452991452991453,0.5978736033548071,5.025270803095837,34.755664933291364,log(1.67e6 / sqrt(abs(v1)))
6,5.0,2150.0,0,-0.03452991452991453,0.5983913448865082,5.026039882838551,34.7525847812748,14.3 - log(sqrt(abs(v1)))
7,5.0,3157.0,0,-0.03452991452991453,0.5915179494051894,5.015829789761861,34.809766562656364,14.2 - log(sqrt(abs(v1)))
8,5.0,4662.0,0,-0.03452991452991453,0.6197703754108856,5.057797387864491,34.799967261032535,log(2.55e6 / sqrt(abs(v1)))
10,5.0,4898.0,0,-0.03452991452991453,0.6017165334963418,5.030979288012633,34.737567754758416,14.4 - log(sqrt(abs(v1)))
11,5.0,661.0,0,-0.03452991452991453,0.6187559138860486,5.0562904548472565,34.790014939585504,log(2.5e6 / sqrt(abs(v1)))
12,5.0,4696.0,0,-0.03452991452991453,0.5951609325549404,5.021241263194004,34.77507099863256,14.3 - log(sqrt(abs(v1)))
13,5.0,0.0,0,-0.03452991452991453,0.6054719830772827,5.036557824831944,34.730523637073766,log(1.93e6 / sqrt(abs(v1)))
15,5.0,1901.0,0,-0.03452991452991453,0.5757847318951433,4.99245886405128,35.07329028185182,13.9 - log(sqrt(abs(v1)))
17,5.0,0.0,0,-0.03452991452991453,0.592790902040516,5.017720698690967,34.79651798996305,log(1.51e6 / sqrt(abs(v1)))
18,5.0,23.0,0,-0.03452991452991453,0.6087045856383779,5.041359697955413,34.732884101000806,log(2.06e6 / sqrt(abs(v1)))
20,5.0,5731.0,0,-0.03452991452991453,0.5823612615436492,5.002227977441502,34.940680295712994,14.0 - log(sqrt(abs(v1)))
21,5.0,2174.0,0,-0.03452991452991453,0.60170236082235,5.030958235198055,34.73761426144559,14.4 - log(sqrt(abs(v1)))
22,5.0,0.0,0,-0.03452991452991453,0.5968296688987349,5.02372008947963,34.76248346605673,log(1.64e6 / sqrt(abs(v1)))
23,5.0,4015.0,0,-0.03452991452991453,0.5969877259975764,5.023954875575527,34.761398890289655,14.3 - log(sqrt(abs(v1)))
24,5.0,1929.0,0,-0.03452991452991453,0.6209128770067195,5.059494518149723,34.81209468633791,14.8 - log(sqrt(abs(v1)))
25,5.0,0.0,0,-0.03452991452991453,0.6031755873160086,5.0331466411560974,34.73358154188365,log(1.85e6 / sqrt(abs(v1)))
26,5.0,0.0,0,-0.03452991452991453,0.6150557912326886,5.050794103474977,34.760220315342714,log(2.33e6 / sqrt(abs(v1)))
27,5.0,5019.0,0,-0.03452991452991453,0.60579798696095,5.037042087668943,34.73040833184131,14.5 - log(sqrt(abs(v1)))
28,5.0,593.0,0,-0.03452991452991453,0.6065588884123276,5.038172369588829,34.73044761299874,log(1.97e6 / sqrt(abs(v1)))
29,5.0,2024.0,0,-0.03452991452991453,0.6098814116514155,5.043107815484929,34.735678501677725,log(2.1e6 / sqrt(abs(v1)))
30,5.0,1611.0,0,-0.03452991452991453,0.6221675852396865,5.06135832591075,34.82653479936328,log(2.67e6 / sqrt(abs(v1)))
