run,compl,age,dim_penalty,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
0,4.0,271.0,0,-0.9920634920634921,0.05597026229152185,1.481116792626658,4.878958798515975,-1.4265335235378032log(v1)
3,4.0,542.0,0,-0.9920634920634921,0.05955364471642415,1.5553713661812676,4.925930285442821,-1.43log(v1)
4,3.0,2876.0,0,100.0,0.14970616358346664,3.9108805062373837,26.15253848753717,-23.633473838703786
6,4.0,4210.0,0,-0.9920634920634921,0.05872871949003827,1.5379384699844503,4.9130730883784794,-1.43log(v1)
7,4.0,3821.0,0,-0.9920634920634921,0.058633148818779075,1.5359188037914053,4.91168023205395,-1.43log(v1)
8,4.0,2833.0,0,-0.9920634920634921,0.051996971403638584,1.3997994413946084,4.8646347278049005,-1.42log(v1)
9,4.0,4118.0,0,-0.9920634920634921,0.055560152935027834,1.472723496609174,4.875509484508576,-1.43log(v1)
10,4.0,2637.0,0,-0.9920634920634921,0.05646564009094008,1.4912551921661172,4.883730247390131,-1.43log(v1)
12,4.0,1650.0,0,-0.9920634920634921,0.05830870016078266,1.529062328082899,4.9071014767455114,-1.43log(v1)
16,4.0,2624.0,0,-0.9920634920634921,0.058519982282203904,1.5335272894796026,4.910056896903588,-1.43log(v1)
17,4.0,3052.0,0,-0.9920634920634921,0.05627231841020412,1.4872986716251428,4.881789429296551,-1.4285714285714286log(v1)
18,4.0,3663.0,0,-0.9920634920634921,0.05241020144336916,1.4082566052994407,4.864140368685215,-1.42log(v1)
23,4.0,2113.0,0,-0.9920634920634921,0.04290977260420078,1.2187127991305404,5.008742132373236,-1.4log(v1)
24,4.0,2991.0,0,-0.9920634920634921,0.055483107815739216,1.4711466915871674,4.87491209998112,-1.4265335235378032log(v1)
