time_stamp,max_are,compl,dim_penalty,age,minus_spearman,valid,max_ae,q75_are,n_params,eqs_orig,minus_r2,mse,mare,custom_compl,ms_processed_e,mae,eqs_orig_rounded
382.9537081718445,34.552342428563804,2.0,0.0,194.0,-0.0782729654579755,true,0.5032891908260743,1.0040609084646293,1.0,-6.34491739257068e-5,4.211236139806118e-7,0.00786989594415645,1.0022886514582903,2.0,0.00786989594415645,0.055413754616295795,-6.34e-5
1032.6598880290985,7219.498905845421,4.0,0.0,178.0,-0.045195235239261944,true,0.5394120589760544,1.489479996564405,1.0,(-0.0104878154790637/v2),-0.03584686762728706,0.007587781630611728,1.5617394225310834,4.0,0.007587781630611728,0.05653204290305337,(-0.0105/v2)
10377.817131996155,6677.878742524147,5.0,0.0,3.0,-0.8245078902684041,true,0.5621225331815639,1.9202733370735272,1.0,(-0.00877426745705001/sin(v2)),-0.07126924105885879,0.0073090113550069525,1.8915733912999362,6.0,0.0073090113550069525,0.05635163955427457,(-0.00877/sin(v2))
5057.032512187958,14595.562400819963,7.0,4.0,105.0,-0.7809300453330899,true,0.4739489863270134,3.2595801267326148,1.0,(v4*(sin(v2)-0.786338519503304)),-0.3955659976515994,0.004756830700378192,5.497089522048311,8.0,0.004756830700378192,0.048583244131265114,(v4*(sin(v2)-0.786))
10161.35908818245,14595.727400616757,7.0,0.0,8.0,-0.7809309875419302,true,0.4739508123642545,3.259555784852322,1.0,(v4*(-0.786341503614366+sin(v2))),-0.39556595496565394,0.004756831036312,5.497089735864944,8.0,0.004756831036312,0.04858310134818999,(v4*(-0.786+sin(v2)))
2084.6032371520996,13432.747826036642,8.0,0.0,157.0,-0.8245078595304992,true,0.34315205209820426,2.4121645106427505,2.0,((0.278784950645858*sin(v2))-0.219133102231619),-0.4866095655220678,0.004040327596589237,3.4138877386805753,9.0,0.004040327596589237,0.044913079326984344,((0.279*sin(v2))-0.219)
7366.440610170364,8054.185137158119,9.0,5.0,63.0,-0.8158847351159981,true,0.32778130893946134,1.4965379541588208,1.0,((v4/v1)*(sin(v2)-0.785990037899529)),-0.671534976186175,0.002584984470111671,3.0559835172828866,10.0,0.002584984470111671,0.03681759426948281,((v4/v1)*(sin(v2)-0.786))
7707.436079025269,8054.198899823524,9.0,0.0,56.0,-0.8158848496377444,true,0.32778126570420907,1.4965400320775812,1.0,((-0.785990488388084+sin(v2))*(v4/v1)),-0.6715349721854047,0.0025849845015973034,3.0559833061009742,10.0,0.0025849845015973034,0.0368175892302971,((-0.786+sin(v2))*(v4/v1))
7109.658135175705,10921.461474173931,10.0,0.0,68.0,-0.8810394291240903,true,0.23228825330270136,2.1117911319687295,2.0,((-0.78824616284033+sin(v2))*(0.518514584383995/v1)),-0.7083174612635084,0.0022955102618899947,3.238017805622456,11.0,0.0022955102618899947,0.035001293917221885,((-0.788+sin(v2))*(0.519/v1))
6247.200824975967,6853.670355881847,12.0,0.0,83.0,-0.8850470513747004,true,0.212524526987579,1.4829009642419821,2.0,(((0.756713977169117/v1)/v1)*(sin(v2)-0.788952057340376)),-0.8440486245875393,0.0012273205799904663,2.5065361516257085,13.0,0.0012273205799904663,0.025378997103887566,(((0.757/v1)/v1)*(sin(v2)-0.789))
