ur,ut,t,Ux
0.347731781186548,-0.511794281186547,0.785398163397448,-0.116009706288418
0.31320636038836,-0.526573044937683,0.83798122500839,-0.181874653054082
0.277431513943478,-0.54059144477914,0.896055384571344,-0.248820905083757
0.240819670609894,-0.553478125644936,0.960070362405688,-0.315325934960625
0.203888056465589,-0.564862086612198,1.03037682652431,-0.379465703639273
0.167213595499958,-0.574427190999916,1.10714871779409,-0.439003105620015
0.131349059231631,-0.58197698815042,1.19028994968253,-0.491570252182761
0.0967073670914697,-0.587487088183865,1.27933953231703,-0.53492191783812
0.0634423185701368,-0.591111370957192,1.37340076694502,-0.567190325219609
0.031373143587218,-0.593115809953151,1.47112767430373,-0.587050544540598
8.85240452757497E-17,-0.59375,1.5707963267949,-0.59375
0.0313731435872178,0.593115809953151,-1.47112767430374,-0.587050544540598
0.0634423185701366,0.591111370957192,-1.37340076694502,-0.567190325219609
0.0967073670914695,0.587487088183865,-1.27933953231703,-0.53492191783812
0.13134905923163,0.58197698815042,-1.19028994968253,-0.491570252182761
0.167213595499958,0.574427190999916,-1.10714871779409,-0.439003105620015
0.203888056465589,0.564862086612198,-1.03037682652431,-0.379465703639273
0.240819670609894,0.553478125644936,-0.960070362405688,-0.315325934960625
0.277431513943478,0.54059144477914,-0.896055384571344,-0.248820905083758
0.31320636038836,0.526573044937683,-0.83798122500839,-0.181874653054082
0.347731781186547,0.511794281186548,-0.785398163397448,-0.116009706288418
0.348007067098178,-0.473915740443914,0.732815101786507,-0.0583613002909971
0.311873585027425,-0.488056712599442,0.785398163397448,-0.124580284236827
0.274351948223499,-0.501273765770461,0.844153986113171,-0.192387170236262
0.235982033633264,-0.513094820926622,0.90975315794421,-0.260133580115434
0.197479069773333,-0.523043062253688,0.982793723247329,-0.325656455145905
0.159681735023417,-0.530729899831043,1.06369782240256,-0.386393097740099
0.123430420565085,-0.535981811134871,1.15257199721567,-0.439656527192811
0.0893759141649861,-0.538961075828292,1.24904577239825,-0.48304022526553
0.0577609076456459,-0.540200901014403,1.35212738092095,-0.514807029330381
0.02826317390352,-0.540470587737272,1.460139105621,-0.534043780795681
7.14992563214834E-17,-0.540466392318244,1.5707963267949,-0.540466392318244
