run,eqs_orig_rounded,ms_processed_e
0,(v3*(v2/pow2((128000.0*v1)))),1.821051876423607e50
1,(v2*(v3/(1.63e10*pow2(v1)))),1.8210399495007941e50
2,((v3*(6.6e-11*v2))/pow2(v1)),3.640336206975231e51
3,(6.15e-11*((v2*v3)/pow2(v1))),1.8209743506302552e50
4,(6.75e-11*(v3*(v2/pow2(v1)))),6.496808732933992e51
5,(v2/(pow2(v1)*(1.49e10/v3))),5.4920898116949575e51
6,(pow2((7.84e-6/v1))*(v2*v3)),1.822638378961913e50
7,(v2/(pow2((128000.0*v1))/v3)),1.8209743505063504e50
8,((v2/(1.63e10/v3))/pow2(v1)),1.8280836493724993e50
9,((v3*(6.15e-11*v2))/pow2(v1)),1.8209743505063544e50
10,(6.15e-11*(v3*(v2/pow2(v1)))),1.8211156299536793e50
