run,eqs_orig_rounded,ms_processed_e
0,(v2*(v3/(1.63e10*pow2(v1)))),1.8212918607891267e50
1,(v3/((1.63e10*pow2(v1))/v2)),1.8210346842428526e50
2,(6.15e-11*((v2*v3)/pow2(v1))),1.820974350603635e50
3,((v2*(6.7e-11*v3))/pow2(v1)),5.503014197706918e51
4,(v3*(6.75e-11*(v2/pow2(v1)))),6.473003928292153e51
5,(v2*(v3/pow2((-127000.0*v1)))),1.8379807025568153e50
6,(v2*(v3*(6.15e-11/pow2(v1)))),1.8209743505063432e50
7,(6.15e-11*(v2*(v3/pow2(v1)))),1.8209743505063425e50
8,((v2*v3)/(pow2(v1)/6.71e-11)),5.5320107140642984e51
9,(6.7e-11*((v2*v3)/pow2(v1))),5.498593591066195e51
10,(v2*(v3/(1.63e10*pow2(v1)))),1.820974350521147e50
