run,eqs_orig_rounded,ms_processed_e
0,sqrt_abs(pow3((1.26*v1))),1.21040845144849e-30
1,pow3((1.12*sqrt_abs(v1))),2.471353304637701e-30
2,sqrt_abs(pow3((1.26*v1))),1.21040845144849e-30
3,sqrt_abs(pow3((-1.26*v1))),1.21040845144849e-30
4,sqrt_abs(pow3((1.26*v1))),1.21040845144849e-30
5,sqrt_abs(pow3((1.26*v1))),1.21040845144849e-30
6,pow3((1.12*sqrt_abs(v1))),2.471353304637701e-30
7,sqrt_abs(pow3((1.26*v1))),1.21040845144849e-30
8,pow3((1.12*sqrt_abs(v1))),2.471353304637701e-30
9,sqrt_abs(pow3((1.26*v1))),1.21040845144849e-30
10,pow3((1.12*sqrt_abs(v1))),2.471353304637701e-30
