run,eqs_orig_rounded,ms_processed_e
0,sqrt_abs(pow3((-51.2*v1))),46.68869298973587
1,(367.0*pow3(sqrt_abs(v1))),46.68860692338552
2,sqrt_abs(pow3((51.1*v1))),251.39914890969513
3,(367.0*pow3(sqrt_abs(v1))),46.688607072642775
4,pow3(sqrt_abs((-51.2*v1))),53.42498479887956
5,sqrt_abs((-134000.0*pow3(v1))),46.68862173796456
6,pow3(sqrt_abs((51.2*v1))),46.68861741746404
7,sqrt_abs((-134000.0*pow3(v1))),46.68861287855157
8,sqrt_abs((-135000.0*pow3(v1))),53.42447311256728
9,pow3(sqrt_abs((51.2*v1))),46.68860705982285
10,pow3(sqrt_abs((51.2*v1))),46.688607178541254
