run,eqs_orig_rounded,ms_processed_e
0,(v2/(pow2((122000.0*v1))/v3)),1.8481418492865505e22
1,(v2*(v3*(6.67e-11/pow2(v1)))),2.540836308401531e22
2,(v2/(pow2((122000.0*v1))/v3)),1.8481418492865505e22
3,((v3*v2)/pow2((-122000.0*v1))),1.8481485752594053e22
4,((v2*v3)/pow2((122000.0*v1))),1.8481485752594053e22
5,(v3*(v2/pow2((122000.0*v1)))),2.052784456246052e22
6,((v3/(pow2(v1)/v2))/1.5e10),2.0376734989641255e22
7,((v2*v3)/pow2((122000.0*v1))),1.8481485752594053e22
8,((v3*v2)/pow2((122000.0*v1))),1.8481485752594053e22
9,(v2*(v3/pow2((122000.0*v1)))),2.052784455586345e22
10,(v2*(v3*(6.67e-11/pow2(v1)))),2.540836308401531e22
