run,eqs_orig_rounded,ms_processed_e
0,((6.67e-11*(v2*v3))/pow2(v1)),5.940859467421761e22
1,(v2*(v3*(6.67e-11/pow2(v1)))),2.540836308401531e22
2,(6.67e-11*(v3/(pow2(v1)/v2))),2.541481946082404e22
3,((6.67e-11*v3)/(pow2(v1)/v2)),2.54215352285886e22
4,((v3/(pow2(v1)/v2))/1.5e10),2.0376734989641255e22
5,((v2*v3)*(6.67e-11/pow2(v1))),2.8405497810935454e22
6,(6.67e-11*((v3*v2)/pow2(v1))),3.1231807993095393e22
7,(6.67e-11*(v3/(pow2(v1)/v2))),2.541481946082404e22
8,(6.67e-11*(v3*(v2/pow2(v1)))),2.839934892970582e22
9,(v2*(v3*(6.67e-11/pow2(v1)))),2.540836308401531e22
10,(v2*(v3*(6.67e-11/pow2(v1)))),2.540836308401531e22
