run,eqs_orig_rounded,ms_processed_e
0,pow3(sqrt_abs((-51.2*v1))),46.68893259441422
1,pow3(sqrt_abs((51.2*v1))),46.688611902365146
2,pow3((7.16*sqrt_abs(v1))),46.68860688779324
3,sqrt_abs((-135000.0*pow3(v1))),53.421985463055
4,sqrt_abs((134000.0*pow3(v1))),46.68862611585613
5,pow3(sqrt_abs((51.1*v1))),288.77286182419994
6,(367.0*pow3(sqrt_abs(v1))),46.68862041452896
7,sqrt_abs(pow3((51.1*v1))),176.1095643987286
8,(367.0*pow3(sqrt_abs(v1))),46.68860694211303
9,pow3(sqrt_abs((v1/0.0195))),53.80979763232917
10,pow3(sqrt_abs((51.1*v1))),303.94561134927505
