run,eqs_orig_rounded,ms_processed_e
0,(6.14e-11*(v2/(pow2(v1)/v3))),1.8388077176091041e50
1,(6.15e-11*((v2*v3)/pow2(v1))),1.8227676294498672e50
2,(v3*(v2*pow2((7.84e-6/v1)))),1.821784371416761e50
3,(v2/(pow2((v1/7.84e-6))/v3)),1.8209743580857543e50
4,(6.14e-11*((v2*v3)/pow2(v1))),1.8485858695383105e50
5,(pow2((-8.19e-6/v1))*(v2*v3)),5.50312939831988e51
6,(6.15e-11*((v2*v3)/pow2(v1))),1.8209743505063523e50
7,(6.71e-11*((v3*(v2/v1))/v1)),5.5267131784106656e51
8,(v2*(6.15e-11*(v3/pow2(v1)))),1.8227677424416541e50
9,(6.15e-11*((v3*v2)/pow2(v1))),1.8209743641289529e50
10,(((v2/v1)/v1)*(6.7e-11*v3)),5.496289619703366e51
