run,eqs_orig_rounded,ms_processed_e
0,(6.67e-11/((pow2(v1)/v3)/v2)),2.5413925964836785e22
1,(6.67e-11*(v3*(v2/pow2(v1)))),2.839934892970582e22
2,(v3*(v2/pow2((122000.0*v1)))),2.052784456246052e22
3,(v2/(pow2(v1)*(1.5e10/v3))),2.5873595669363498e22
4,(pow2((8.17e-6/v1))*(v3*v2)),7.20157049337378e22
5,(v2*((6.67e-11*v3)/pow2(v1))),3.313397479423576e22
6,((((v2*v3)/v1)/v1)/1.5e10),1.911064462235936e22
7,(v3*(v2/pow2((v1/8.17e-6)))),2.8412521051885626e22
8,(v2*((6.67e-11*v3)/pow2(v1))),3.705908612342686e23
9,(6.67e-11*(((v3*v2)/v1)/v1)),2.115700344927771e22
10,((6.67e-11/pow2(v1))*(v3*v2)),1.0473128405734872e23
