run,eqs_orig_rounded,ms_processed_e
0,sqrt_abs(pow3((51.2*v1))),46.69344211359268
1,pow3(sqrt_abs((-51.1*v1))),320.22616801681755
2,pow3(sqrt_abs((-51.2*v1))),46.688932605335005
3,sqrt_abs((135000.0*pow3(v1))),53.42919332048572
4,sqrt_abs((-135000.0*pow3(v1))),53.82877537522683
5,pow3(sqrt_abs((v1/0.0195))),53.8318925660117
6,(367.0*pow3(sqrt_abs(v1))),46.68862061877517
7,pow3(sqrt_abs((51.2*v1))),53.83189281050619
8,pow3(sqrt_abs((51.2*v1))),46.688632595305215
9,pow3((7.16*sqrt_abs(v1))),46.688693194713586
10,sqrt_abs(pow3((-51.2*v1))),53.42755042233865
