run,eqs_orig_rounded,ms_processed_e
0,(6.15e-11*((v2*v3)/pow2(v1))),1.8209743505063494e50
1,((v3/pow2(v1))*(6.15e-11*v2)),1.8211516303262966e50
2,(6.7e-11*(v2*(v3/pow2(v1)))),5.505784759504165e51
3,((v3*(6.15e-11*v2))/pow2(v1)),1.8210802525059234e50
4,((6.15e-11*v2)*(v3/pow2(v1))),1.8209743506036908e50
5,(6.15e-11*((v2*v3)/pow2(v1))),1.8209743505063488e50
6,(v3*((6.75e-11*v2)/pow2(v1))),6.503806158188916e51
7,((v3*v2)*(6.15e-11/pow2(v1))),1.8209743507939758e50
8,(6.71e-11*((v2*v3)/pow2(v1))),5.545187976568348e51
9,((v3*(6.15e-11*v2))/pow2(v1)),1.8209743505063415e50
10,(6.15e-11*((v3*v2)/pow2(v1))),1.8209743505793078e50
