run,eqs_orig_rounded,ms_processed_e
0,(v2*(v3/(1.63e10*pow2(v1)))),1.821105581229937e50
1,(v2*(v3/(pow2(v1)/6.75e-11))),6.460615723813463e51
2,(6.15e-11*((v3*v2)/pow2(v1))),1.8210695384894728e50
3,(pow2((7.84e-6/v1))*(v3*v2)),1.8240372046164366e50
4,((v3*v2)/pow2((-128000.0*v1))),1.8211008721549612e50
5,(v2*(v3/(pow2(v1)/6.7e-11))),5.5210453399679816e51
6,(6.15e-11*((v3*v2)/pow2(v1))),1.8209743505063469e50
7,(v3*(6.15e-11/(pow2(v1)/v2))),1.820974350506346e50
8,(v2/(pow2(v1)*(1.63e10/v3))),1.8210383168543858e50
9,(v2/((1.63e10*pow2(v1))/v3)),1.8210372466264868e50
10,(pow2((7.84e-6/v1))*(v2*v3)),1.8209743505063444e50
