run,eqs_orig_rounded,ms_processed_e
0,((v2*v3)/pow2((122000.0*v1))),1.8481485752594053e22
1,((v2*v3)/pow2((122000.0*v1))),1.8481485752594053e22
2,(v2*(v3/(1.5e10*pow2(v1)))),2.5420929946594547e22
3,((v3*v2)/pow2((122000.0*v1))),1.8481485752594053e22
4,(v2/(pow2((122000.0*v1))/v3)),1.8481418492865505e22
5,((v3*v2)/pow2((122000.0*v1))),1.8481485752594053e22
6,(v2/(pow2((122000.0*v1))/v3)),1.8481418492865505e22
7,((v3*v2)/pow2((122000.0*v1))),1.8481485752594053e22
8,((v2*v3)/pow2((122000.0*v1))),1.8481485752594053e22
9,((v3*(6.67e-11*v2))/pow2(v1)),6.550265115176889e23
10,((v2*v3)/pow2((122000.0*v1))),1.8481485752594053e22
