Ux,Uy,Umag
6.077767073105868612e-01,-1.160097062884179464e-01,6.187493659814317093e-01
6.009226706933692430e-01,-1.194543414423043515e-01,6.126805006221971439e-01
5.954410906757917621e-01,-1.210671823087981769e-01,6.076243536078588248e-01
5.915279607141334939e-01,-1.201117022336596063e-01,6.035993284622579447e-01
5.892647829070998267e-01,-1.157865799073897195e-01,6.005326939153285970e-01
5.885634921400387798e-01,-1.073312629199899559e-01,5.982699927959596042e-01
5.891338840757821549e-01,-9.418628738543244339e-02,5.966152781296071295e-01
5.904992327429644527e-01,-7.618431441242219659e-02,5.953934779895733165e-01
5.920744498639705089e-01,-5.371616589745474568e-02,5.945061653679011293e-01
5.932940334692138329e-01,-2.779978425741075343e-02,5.939449790636563975e-01
5.937500000000000000e-01,-7.967164074817471026e-17,5.937500000000000000e-01
5.932940334692138329e-01,2.779978425741063547e-02,5.939449790636563975e-01
5.920744498639703979e-01,5.371616589745463466e-02,5.945061653679010183e-01
5.904992327429644527e-01,7.618431441242212721e-02,5.953934779895733165e-01
5.891338840757821549e-01,9.418628738543236012e-02,5.966152781296071295e-01
5.885634921400386688e-01,1.073312629199898727e-01,5.982699927959593822e-01
5.892647829070997156e-01,1.157865799073896362e-01,6.005326939153285970e-01
5.915279607141336049e-01,1.201117022336596618e-01,6.035993284622580557e-01
5.954410906757916511e-01,1.210671823087981769e-01,6.076243536078587137e-01
6.009226706933691320e-01,1.194543414423043237e-01,6.126805006221970329e-01
6.077767073105869722e-01,1.160097062884181129e-01,6.187493659814319313e-01
5.757045319444383802e-01,-1.194543414423043515e-01,5.879668764401438930e-01
5.656361379285310687e-01,-1.245802842368273766e-01,5.791929624496769957e-01
5.569261972607238986e-01,-1.279749606307336030e-01,5.714406178630712096e-01
5.498914891300428209e-01,-1.287368076416271490e-01,5.647599626915963400e-01
5.447398126531923790e-01,-1.258195711359000601e-01,5.590814144382345585e-01
5.414897094450228376e-01,-1.181582736836584713e-01,5.542314345783335705e-01
5.399162105380822529e-01,-1.048906868434348189e-01,5.500105186160445525e-01
5.395665166097428633e-01,-8.564501996289364261e-02,5.463214212263842740e-01
5.398672296095632372e-01,-6.080057814294523993e-02,5.432801633676875852e-01
5.402860716474496838e-01,-3.159468296943582916e-02,5.412090753194852555e-01
5.404663923182442264e-01,-8.160241210604086140e-17,5.404663923182442264e-01
5.402860716474495728e-01,3.159468296943564181e-02,5.412090753194851445e-01
5.398672296095632372e-01,6.080057814294511503e-02,5.432801633676875852e-01
5.395665166097430854e-01,8.564501996289357322e-02,5.463214212263844960e-01
5.399162105380821419e-01,1.048906868434347633e-01,5.500105186160443305e-01
5.414897094450229487e-01,1.181582736836582770e-01,5.542314345783335705e-01
5.447398126531923790e-01,1.258195711359000879e-01,5.590814144382345585e-01
5.498914891300427099e-01,1.287368076416271490e-01,5.647599626915962290e-01
5.569261972607237876e-01,1.279749606307336030e-01,5.714406178630710986e-01
5.656361379285310687e-01,1.245802842368273766e-01,5.791929624496769957e-01
5.757045319444380471e-01,1.194543414423043237e-01,5.879668764401435599e-01
5.409608586368326311e-01,-1.210671823087981491e-01,5.543427759151290379e-01
5.267098871118006675e-01,-1.279749606307336030e-01,5.420340355824194711e-01
5.136051376969976712e-01,-1.333593721842304958e-01,5.306363723098183049e-01
5.020861469989393866e-01,-1.361463047045882446e-01,5.202175653444961467e-01
4.924999999999999933e-01,-1.350000000000000089e-01,5.106674553953874929e-01
4.849890365857244534e-01,-1.284683707620382087e-01,5.017155448006387353e-01
4.794154239883303692e-01,-1.152972550898328924e-01,4.930847855989480832e-01
4.754123098555867455e-01,-9.488041956976618618e-02,4.847877456990422607e-01
4.726004087931817144e-01,-6.766240404344067705e-02,4.774194668343764714e-01
4.708340613087616533e-01,-3.522880035669836291e-02,4.721501685513569968e-01
4.702148437500000000e-01,-8.091651013486494589e-17,4.702148437500000000e-01
4.708340613087617643e-01,3.522880035669818249e-02,4.721501685513571078e-01
4.726004087931817144e-01,6.766240404344057990e-02,4.774194668343764159e-01
4.754123098555866345e-01,9.488041956976613067e-02,4.847877456990421496e-01
4.794154239883302027e-01,1.152972550898328646e-01,4.930847855989478612e-01
4.849890365857244534e-01,1.284683707620382920e-01,5.017155448006387353e-01
4.925000000000000488e-01,1.350000000000000366e-01,5.106674553953874929e-01
5.020861469989393866e-01,1.361463047045882446e-01,5.202175653444961467e-01
5.136051376969975601e-01,1.333593721842304958e-01,5.306363723098180829e-01
5.267098871118005565e-01,1.279749606307336585e-01,5.420340355824194711e-01
5.409608586368324090e-01,1.210671823087981769e-01,5.543427759151288159e-01
5.040180062296101271e-01,-1.201117022336596063e-01,5.181321951173644136e-01
4.845013646136606678e-01,-1.287368076416271767e-01,5.013130139486273729e-01
4.656183868102105050e-01,-1.361463047045882446e-01,4.851147270702647063e-01
4.478949421675736398e-01,-1.410863566689631310e-01,4.695905016686517386e-01
4.317773129109940267e-01,-1.418680156668720160e-01,4.544867234737383077e-01
4.174615564867000250e-01,-1.365262283913783459e-01,4.392192643578751721e-01
4.047800606399523660e-01,-1.233008012484439753e-01,4.231429842029663102e-01
3.933810643040538402e-01,-1.014365613538061872e-01,4.062487387454570831e-01
3.833689172684343061e-01,-7.188324279265682903e-02,3.900499036302402245e-01
3.759782656028718417e-01,-3.712310601229379392e-02,3.778065393898624169e-01
3.731778425655977172e-01,-7.432922752016302137e-17,3.731778425655977172e-01
3.759782656028719527e-01,3.712310601229363433e-02,3.778065393898624724e-01
3.833689172684341395e-01,7.188324279265667638e-02,3.900499036302400024e-01
3.933810643040537292e-01,1.014365613538061595e-01,4.062487387454569721e-01
4.047800606399523105e-01,1.233008012484438226e-01,4.231429842029661992e-01
4.174615564866999695e-01,1.365262283913782904e-01,4.392192643578751166e-01
4.317773129109939712e-01,1.418680156668719883e-01,4.544867234737382522e-01
4.478949421675735287e-01,1.410863566689631032e-01,4.695905016686516276e-01
4.656183868102103940e-01,1.361463047045882724e-01,4.851147270702645953e-01
4.845013646136606678e-01,1.287368076416272877e-01,5.013130139486274839e-01
5.040180062296101271e-01,1.201117022336596896e-01,5.181321951173644136e-01
4.657590976725507481e-01,-1.157865799073896640e-01,4.799354843636788326e-01
4.398901700399423520e-01,-1.258195711359000046e-01,4.575302461899007356e-01
4.137500000000000622e-01,-1.350000000000000366e-01,4.352172589638421685e-01
3.878657842522004184e-01,-1.418680156668719883e-01,4.129968528485783996e-01
3.626627247117778508e-01,-1.442448728982975159e-01,3.902958304322719507e-01
3.381377625613399274e-01,-1.393575285483011905e-01,3.657289532332376192e-01
3.135482501410234435e-01,-1.246229176060749122e-01,3.374068416009793347e-01
2.877709405000670739e-01,-9.938079899999069378e-02,3.044481193999556967e-01
2.613117028200427905e-01,-6.670429439417685513e-02,2.696910619974925427e-01
2.392493903729451810e-01,-3.242346718221078561e-02,2.414364347358157470e-01
2.303240740740742920e-01,-5.409802766851374663e-17,2.303240740740742920e-01
2.392493903729450422e-01,3.242346718221059132e-02,2.414364347358155805e-01
2.613117028200427350e-01,6.670429439417666084e-02,2.696910619974924317e-01
2.877709405000670739e-01,9.938079899999066602e-02,3.044481193999556967e-01
3.135482501410232770e-01,1.246229176060748289e-01,3.374068416009791127e-01
3.381377625613399274e-01,1.393575285483010795e-01,3.657289532332375637e-01
3.626627247117778508e-01,1.442448728982974049e-01,3.902958304322718952e-01
3.878657842522003074e-01,1.418680156668720438e-01,4.129968528485783441e-01
4.137499999999999512e-01,1.350000000000000921e-01,4.352172589638420575e-01
4.398901700399422410e-01,1.258195711359001712e-01,4.575302461899006801e-01
4.657590976725505816e-01,1.157865799073896640e-01,4.799354843636786661e-01
4.275665977600539014e-01,-1.073312629199899559e-01,4.408323893727725262e-01
3.944483021942478684e-01,-1.181582736836584713e-01,4.117655167007395756e-01
3.597323750927371999e-01,-1.284683707620382642e-01,3.819836435976209366e-01
3.238435713040406227e-01,-1.365262283913783459e-01,3.514456852967895450e-01
2.870400020936295649e-01,-1.393575285483011905e-01,3.190806850390688343e-01
2.486990449892934607e-01,-1.325825214724777046e-01,2.818321131074076891e-01
2.061244525055691279e-01,-1.114863261548646872e-01,2.343426782304697531e-01
1.541900445123458308e-01,-7.510480858857718212e-02,1.715088980194497126e-01
9.029156564868809354e-02,-3.312045270696539062e-02,9.617448317930116231e-02
2.776006230497189003e-02,-5.439611736451173060e-03,2.828799100359123339e-02
3.330669073875469621e-16,-2.805098097177385053e-31,3.330669073875469621e-16
2.776006230497168881e-02,5.439611736451101937e-03,2.828799100359102175e-02
9.029156564868782986e-02,3.312045270696529348e-02,9.617448317930088475e-02
1.541900445123456920e-01,7.510480858857704334e-02,1.715088980194495460e-01
2.061244525055688226e-01,1.114863261548644791e-01,2.343426782304693923e-01
2.486990449892931831e-01,1.325825214724777046e-01,2.818321131074074115e-01
2.870400020936294538e-01,1.393575285483011350e-01,3.190806850390687233e-01
