uinf,t,a,r,ur
1.000000000000000000e+00,-1.428899272190733205e+00,1.000000000000000000e+00,1.414213562373095145e+00,1.642135623730944100e-02
1.000000000000000000e+00,-1.292496667789785558e+00,1.000000000000000000e+00,1.456021977856103655e+00,3.620208197356172136e-02
1.000000000000000000e+00,-1.165904540509813403e+00,1.000000000000000000e+00,1.523154621172781553e+00,6.172548169450649269e-02
1.000000000000000000e+00,-1.051650212548373986e+00,1.000000000000000000e+00,1.612451549659709826e+00,9.377207445150835541e-02
1.000000000000000000e+00,-9.505468408120756330e-01,1.000000000000000000e+00,1.720465053408524847e+00,1.315486392998120591e-01
1.000000000000000000e+00,-8.621700546672266263e-01,1.000000000000000000e+00,1.843908891458577060e+00,1.732827229369372779e-01
1.000000000000000000e+00,-7.853981633974485010e-01,1.000000000000000000e+00,1.979898987322332715e+00,2.169464313323200000e-01
1.000000000000000000e+00,-7.188299996216248600e-01,1.000000000000000000e+00,2.126029162546929197e+00,2.607605775481338095e-01
1.000000000000000000e+00,-6.610431688506872572e-01,1.000000000000000000e+00,2.280350850198275214e+00,3.034054718141958595e-01
1.000000000000000000e+00,-6.107259643892088974e-01,1.000000000000000000e+00,2.441311123146740147e+00,3.440281008712766098e-01
1.000000000000000000e+00,5.404195002705842743e-01,1.000000000000000000e+00,2.332380757938120386e+00,3.398134274426480306e-01
1.000000000000000000e+00,5.880026035475676149e-01,1.000000000000000000e+00,2.163330765278393741e+00,2.962186046600002176e-01
1.000000000000000000e+00,6.435011087932844820e-01,1.000000000000000000e+00,2.000000000000000000e+00,2.499999999999999722e-01
1.000000000000000000e+00,7.086262721276702647e-01,1.000000000000000000e+00,1.843908891458577726e+00,2.021631767597603657e-01
1.000000000000000000e+00,7.853981633974482790e-01,1.000000000000000000e+00,1.697056274847714263e+00,1.544447441495104545e-01
1.000000000000000000e+00,8.760580505981934163e-01,1.000000000000000000e+00,1.562049935181331062e+00,1.094131016263181072e-01
1.000000000000000000e+00,9.827937232473290541e-01,1.000000000000000000e+00,1.442220510185596050e+00,7.023274060392749318e-02
1.000000000000000000e+00,1.107148717794090409e+00,1.000000000000000000e+00,1.341640786499874061e+00,3.980618809255057067e-02
1.000000000000000000e+00,1.249045772398254206e+00,1.000000000000000000e+00,1.264911064067351987e+00,1.935276601683794465e-02
1.000000000000000000e+00,1.405647649380269426e+00,1.000000000000000000e+00,1.216552506059644267e+00,7.350046472632726195e-03
1.000000000000000000e+00,1.570796326794896336e+00,1.000000000000000000e+00,1.200000000000000178e+00,1.114747236805737038e-17
1.000000000000000000e+00,-1.405647649380270314e+00,1.000000000000000000e+00,1.216552506059644045e+00,7.350046472632688031e-03
1.000000000000000000e+00,-1.249045772398254872e+00,1.000000000000000000e+00,1.264911064067351765e+00,1.935276601683790995e-02
1.000000000000000000e+00,-1.107148717794090853e+00,1.000000000000000000e+00,1.341640786499873839e+00,3.980618809255043189e-02
1.000000000000000000e+00,-9.827937232473294982e-01,1.000000000000000000e+00,1.442220510185595383e+00,7.023274060392732665e-02
1.000000000000000000e+00,-8.760580505981939714e-01,1.000000000000000000e+00,1.562049935181330396e+00,1.094131016263179684e-01
1.000000000000000000e+00,-7.853981633974486121e-01,1.000000000000000000e+00,1.697056274847713819e+00,1.544447441495103990e-01
1.000000000000000000e+00,-7.086262721276705978e-01,1.000000000000000000e+00,1.843908891458577060e+00,2.021631767597601159e-01
1.000000000000000000e+00,-6.435011087932847040e-01,1.000000000000000000e+00,1.999999999999999334e+00,2.499999999999997780e-01
1.000000000000000000e+00,-5.880026035475679480e-01,1.000000000000000000e+00,2.163330765278392853e+00,2.962186046599999401e-01
1.000000000000000000e+00,-5.404195002705843853e-01,1.000000000000000000e+00,2.332380757938119498e+00,3.398134274426478640e-01
1.000000000000000000e+00,4.636476090008062045e-01,1.000000000000000000e+00,2.236067977499789805e+00,3.344271909999158576e-01
1.000000000000000000e+00,5.070985043923370572e-01,1.000000000000000000e+00,2.059126028197399982e+00,2.874271230421499568e-01
1.000000000000000000e+00,5.585993153435625524e-01,1.000000000000000000e+00,1.886796226411320943e+00,2.369643436465475039e-01
1.000000000000000000e+00,6.202494859828215912e-01,1.000000000000000000e+00,1.720465053408525513e+00,1.841680950197371602e-01
1.000000000000000000e+00,6.947382761967032527e-01,1.000000000000000000e+00,1.562049935181331062e+00,1.312957219515817064e-01
1.000000000000000000e+00,7.853981633974482790e-01,1.000000000000000000e+00,1.414213562373095368e+00,8.210678118654766988e-02
1.000000000000000000e+00,8.960553845713439269e-01,1.000000000000000000e+00,1.280624847486570239e+00,4.170872988636963041e-02
1.000000000000000000e+00,1.030376826524312284e+00,1.000000000000000000e+00,1.166190378969060415e+00,1.492828137908366708e-02
1.000000000000000000e+00,1.190289949682531434e+00,1.000000000000000000e+00,1.077032961426901192e+00,2.781877305352300610e-03
1.000000000000000000e+00,1.373400766945015450e+00,1.000000000000000000e+00,1.019803902718557254e+00,1.102179784207356719e-04
1.000000000000000000e+00,1.570796326794896114e+00,1.000000000000000000e+00,1.000000000000000222e+00,-1.122039238870953890e-31
1.000000000000000000e+00,-1.373400766945016560e+00,1.000000000000000000e+00,1.019803902718557032e+00,1.102179784207350620e-04
1.000000000000000000e+00,-1.190289949682532322e+00,1.000000000000000000e+00,1.077032961426900970e+00,2.781877305352212140e-03
1.000000000000000000e+00,-1.030376826524312728e+00,1.000000000000000000e+00,1.166190378969060193e+00,1.492828137908365667e-02
1.000000000000000000e+00,-8.960553845713444820e-01,1.000000000000000000e+00,1.280624847486569573e+00,4.170872988636945694e-02
1.000000000000000000e+00,-7.853981633974488341e-01,1.000000000000000000e+00,1.414213562373094479e+00,8.210678118654730906e-02
1.000000000000000000e+00,-6.947382761967035858e-01,1.000000000000000000e+00,1.562049935181330396e+00,1.312957219515815677e-01
1.000000000000000000e+00,-6.202494859828218132e-01,1.000000000000000000e+00,1.720465053408525069e+00,1.841680950197371325e-01
1.000000000000000000e+00,-5.585993153435627745e-01,1.000000000000000000e+00,1.886796226411320276e+00,2.369643436465471986e-01
1.000000000000000000e+00,-5.070985043923372793e-01,1.000000000000000000e+00,2.059126028197399094e+00,2.874271230421498458e-01
1.000000000000000000e+00,-4.636476090008063711e-01,1.000000000000000000e+00,2.236067977499788917e+00,3.344271909999156356e-01
1.000000000000000000e+00,3.805063771123650129e-01,1.000000000000000000e+00,2.154065922853801940e+00,3.283726480790762903e-01
1.000000000000000000e+00,4.182243295792292259e-01,1.000000000000000000e+00,1.969771560359221185e+00,2.777184462714422097e-01
1.000000000000000000e+00,4.636476090008062045e-01,1.000000000000000000e+00,1.788854381999832155e+00,2.225521909999160219e-01
1.000000000000000000e+00,5.191461142465231271e-01,1.000000000000000000e+00,1.612451549659710270e+00,1.641011302901396740e-01
1.000000000000000000e+00,5.880026035475676149e-01,1.000000000000000000e+00,1.442220510185596050e+00,1.053491109058912190e-01
1.000000000000000000e+00,6.747409422235527421e-01,1.000000000000000000e+00,1.280624847486570239e+00,5.213591235796202761e-02
1.000000000000000000e+00,7.853981633974482790e-01,1.000000000000000000e+00,1.131370849898476472e+00,1.374740618654773580e-02
1.000000000000000000e+00,9.272952180016120760e-01,1.000000000000000000e+00,1.000000000000000444e+00,0.000000000000000000e+00
1.000000000000000000e+00,-9.272952180016127421e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-7.853981633974488341e-01,1.000000000000000000e+00,1.131370849898475806e+00,1.374740618654741488e-02
1.000000000000000000e+00,-6.747409422235531862e-01,1.000000000000000000e+00,1.280624847486569351e+00,5.213591235796184026e-02
1.000000000000000000e+00,-5.880026035475679480e-01,1.000000000000000000e+00,1.442220510185595383e+00,1.053491109058910108e-01
1.000000000000000000e+00,-5.191461142465232381e-01,1.000000000000000000e+00,1.612451549659709604e+00,1.641011302901395630e-01
1.000000000000000000e+00,-4.636476090008064821e-01,1.000000000000000000e+00,1.788854381999831267e+00,2.225521909999155779e-01
1.000000000000000000e+00,-4.182243295792294480e-01,1.000000000000000000e+00,1.969771560359220075e+00,2.777184462714419877e-01
1.000000000000000000e+00,-3.805063771123651239e-01,1.000000000000000000e+00,2.154065922853801052e+00,3.283726480790760127e-01
1.000000000000000000e+00,2.914567944778672093e-01,1.000000000000000000e+00,2.088061301782110135e+00,3.223578903048986422e-01
1.000000000000000000e+00,3.217505543966423520e-01,1.000000000000000000e+00,1.897366596101027758e+00,2.681277424949582988e-01
1.000000000000000000e+00,3.587706702705723560e-01,1.000000000000000000e+00,1.708800749063506430e+00,2.082376031648411341e-01
1.000000000000000000e+00,4.048917862850835991e-01,1.000000000000000000e+00,1.523154621172781997e+00,1.440261239538488391e-01
1.000000000000000000e+00,4.636476090008062600e-01,1.000000000000000000e+00,1.341640786499874061e+00,7.961237618510111358e-02
1.000000000000000000e+00,5.404195002705842743e-01,1.000000000000000000e+00,1.166190378969060415e+00,2.488046896513943299e-02
1.000000000000000000e+00,6.435011087932844820e-01,1.000000000000000000e+00,1.000000000000000444e+00,0.000000000000000000e+00
1.000000000000000000e+00,-5.404195002705848294e-01,1.000000000000000000e+00,1.166190378969059527e+00,2.488046896513923523e-02
1.000000000000000000e+00,-4.636476090008065376e-01,1.000000000000000000e+00,1.341640786499873395e+00,7.961237618510090541e-02
1.000000000000000000e+00,-4.048917862850837102e-01,1.000000000000000000e+00,1.523154621172781331e+00,1.440261239538486449e-01
1.000000000000000000e+00,-3.587706702705725781e-01,1.000000000000000000e+00,1.708800749063505542e+00,2.082376031648408843e-01
1.000000000000000000e+00,-3.217505543966425186e-01,1.000000000000000000e+00,1.897366596101026648e+00,2.681277424949580768e-01
1.000000000000000000e+00,-2.914567944778673203e-01,1.000000000000000000e+00,2.088061301782109247e+00,3.223578903048983646e-01
1.000000000000000000e+00,1.973955598498809416e-01,1.000000000000000000e+00,2.039607805437114063e+00,3.172115928506835658e-01
1.000000000000000000e+00,2.186689458739421443e-01,1.000000000000000000e+00,1.843908891458577504e+00,2.599240844054060418e-01
1.000000000000000000e+00,2.449786631268643655e-01,1.000000000000000000e+00,1.649242250247064501e+00,1.959210468581347453e-01
1.000000000000000000e+00,2.782996590051115549e-01,1.000000000000000000e+00,1.456021977856103877e+00,1.267072869074661878e-01
1.000000000000000000e+00,3.217505543966424075e-01,1.000000000000000000e+00,1.264911064067351987e+00,5.805829805051380271e-02
1.000000000000000000e+00,3.805063771123651239e-01,1.000000000000000000e+00,1.077032961426901192e+00,6.954693263380745671e-03
1.000000000000000000e+00,-3.805063771123654570e-01,1.000000000000000000e+00,1.077032961426900082e+00,6.954693263380332807e-03
1.000000000000000000e+00,-3.217505543966426296e-01,1.000000000000000000e+00,1.264911064067351321e+00,5.805829805051358761e-02
1.000000000000000000e+00,-2.782996590051117214e-01,1.000000000000000000e+00,1.456021977856103211e+00,1.267072869074659380e-01
1.000000000000000000e+00,-2.449786631268644765e-01,1.000000000000000000e+00,1.649242250247063390e+00,1.959210468581343012e-01
1.000000000000000000e+00,-2.186689458739422554e-01,1.000000000000000000e+00,1.843908891458576393e+00,2.599240844054058197e-01
1.000000000000000000e+00,-1.973955598498809971e-01,1.000000000000000000e+00,2.039607805437113175e+00,3.172115928506832883e-01
1.000000000000000000e+00,9.966865249116221848e-02,1.000000000000000000e+00,2.009975124224177900e+00,3.137314358721791652e-01
1.000000000000000000e+00,1.106572211738958561e-01,1.000000000000000000e+00,1.811077027627483460e+00,2.543685651316797136e-01
1.000000000000000000e+00,1.243549945467616741e-01,1.000000000000000000e+00,1.612451549659710048e+00,1.875441489030166831e-01
1.000000000000000000e+00,1.418970546041641856e-01,1.000000000000000000e+00,1.414213562373095145e+00,1.149494936611664964e-01
1.000000000000000000e+00,1.651486774146271319e-01,1.000000000000000000e+00,1.216552506059644267e+00,4.410027883579626523e-02
1.000000000000000000e+00,1.973955598498810804e-01,1.000000000000000000e+00,1.019803902718557254e+00,5.510898921036772209e-04
1.000000000000000000e+00,-1.973955598498813024e-01,1.000000000000000000e+00,1.019803902718556143e+00,5.510898921036772209e-04
1.000000000000000000e+00,-1.651486774146272707e-01,1.000000000000000000e+00,1.216552506059643379e+00,4.410027883579604319e-02
1.000000000000000000e+00,-1.418970546041642689e-01,1.000000000000000000e+00,1.414213562373094479e+00,1.149494936611662743e-01
1.000000000000000000e+00,-1.243549945467617296e-01,1.000000000000000000e+00,1.612451549659709160e+00,1.875441489030163777e-01
1.000000000000000000e+00,-1.106572211738959255e-01,1.000000000000000000e+00,1.811077027627482350e+00,2.543685651316791585e-01
1.000000000000000000e+00,-9.966865249116226011e-02,1.000000000000000000e+00,2.009975124224177012e+00,3.137314358721788321e-01
1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,2.000000000000000000e+00,3.125000000000000000e-01
1.000000000000000000e+00,2.467162276944792422e-16,1.000000000000000000e+00,1.800000000000000044e+00,2.524005486968450285e-01
1.000000000000000000e+00,2.775557561562891351e-16,1.000000000000000000e+00,1.600000000000000089e+00,1.845703125000000000e-01
1.000000000000000000e+00,3.172065784643303979e-16,1.000000000000000000e+00,1.400000000000000133e+00,1.107871720116617720e-01
1.000000000000000000e+00,3.700743415417188139e-16,1.000000000000000000e+00,1.200000000000000178e+00,3.935185185185186008e-02
1.000000000000000000e+00,4.440892098500625176e-16,1.000000000000000000e+00,1.000000000000000222e+00,-2.220446049250313081e-16
1.000000000000000000e+00,-3.700743415417190605e-16,1.000000000000000000e+00,1.199999999999999289e+00,3.935185185185163803e-02
1.000000000000000000e+00,-3.172065784643305458e-16,1.000000000000000000e+00,1.399999999999999467e+00,1.107871720116615499e-01
1.000000000000000000e+00,-2.775557561562892830e-16,1.000000000000000000e+00,1.599999999999999201e+00,1.845703124999997780e-01
1.000000000000000000e+00,-2.467162276944793901e-16,1.000000000000000000e+00,1.799999999999998934e+00,2.524005486968446954e-01
1.000000000000000000e+00,-2.220446049250314067e-16,1.000000000000000000e+00,1.999999999999999112e+00,3.124999999999996669e-01
1.000000000000000000e+00,-9.966865249116167724e-02,1.000000000000000000e+00,2.009975124224177900e+00,3.137314358721791652e-01
1.000000000000000000e+00,-1.106572211738952594e-01,1.000000000000000000e+00,1.811077027627483238e+00,2.543685651316796026e-01
1.000000000000000000e+00,-1.243549945467609941e-01,1.000000000000000000e+00,1.612451549659710048e+00,1.875441489030167108e-01
1.000000000000000000e+00,-1.418970546041634362e-01,1.000000000000000000e+00,1.414213562373095145e+00,1.149494936611665102e-01
1.000000000000000000e+00,-1.651486774146262437e-01,1.000000000000000000e+00,1.216552506059644045e+00,4.410027883579627217e-02
1.000000000000000000e+00,-1.973955598498800257e-01,1.000000000000000000e+00,1.019803902718557032e+00,5.510898921036773293e-04
1.000000000000000000e+00,1.973955598498802477e-01,1.000000000000000000e+00,1.019803902718555921e+00,5.510898921034595131e-04
1.000000000000000000e+00,1.651486774146263825e-01,1.000000000000000000e+00,1.216552506059643157e+00,4.410027883579583502e-02
1.000000000000000000e+00,1.418970546041634917e-01,1.000000000000000000e+00,1.414213562373094479e+00,1.149494936611662882e-01
1.000000000000000000e+00,1.243549945467610496e-01,1.000000000000000000e+00,1.612451549659708938e+00,1.875441489030164888e-01
1.000000000000000000e+00,1.106572211738953287e-01,1.000000000000000000e+00,1.811077027627482128e+00,2.543685651316792695e-01
1.000000000000000000e+00,9.966865249116171888e-02,1.000000000000000000e+00,2.009975124224177012e+00,3.137314358721788321e-01
1.000000000000000000e+00,-1.973955598498804975e-01,1.000000000000000000e+00,2.039607805437113619e+00,3.172115928506833993e-01
1.000000000000000000e+00,-2.186689458739416725e-01,1.000000000000000000e+00,1.843908891458577504e+00,2.599240844054060973e-01
1.000000000000000000e+00,-2.449786631268638382e-01,1.000000000000000000e+00,1.649242250247064279e+00,1.959210468581346620e-01
1.000000000000000000e+00,-2.782996590051109997e-01,1.000000000000000000e+00,1.456021977856103655e+00,1.267072869074661878e-01
1.000000000000000000e+00,-3.217505543966417414e-01,1.000000000000000000e+00,1.264911064067351765e+00,5.805829805051381659e-02
1.000000000000000000e+00,-3.805063771123643468e-01,1.000000000000000000e+00,1.077032961426900970e+00,6.954693263380542709e-03
1.000000000000000000e+00,3.805063771123647354e-01,1.000000000000000000e+00,1.077032961426899860e+00,6.954693263380541841e-03
1.000000000000000000e+00,3.217505543966419634e-01,1.000000000000000000e+00,1.264911064067350877e+00,5.805829805051338638e-02
1.000000000000000000e+00,2.782996590051110553e-01,1.000000000000000000e+00,1.456021977856102989e+00,1.267072869074659658e-01
1.000000000000000000e+00,2.449786631268639492e-01,1.000000000000000000e+00,1.649242250247063390e+00,1.959210468581343567e-01
1.000000000000000000e+00,2.186689458739418113e-01,1.000000000000000000e+00,1.843908891458576393e+00,2.599240844054058752e-01
1.000000000000000000e+00,1.973955598498805808e-01,1.000000000000000000e+00,2.039607805437112731e+00,3.172115928506830662e-01
1.000000000000000000e+00,-2.914567944778669317e-01,1.000000000000000000e+00,2.088061301782109691e+00,3.223578903048984756e-01
1.000000000000000000e+00,-3.217505543966420190e-01,1.000000000000000000e+00,1.897366596101027536e+00,2.681277424949582433e-01
1.000000000000000000e+00,-3.587706702705720230e-01,1.000000000000000000e+00,1.708800749063506208e+00,2.082376031648410508e-01
1.000000000000000000e+00,-4.048917862850831551e-01,1.000000000000000000e+00,1.523154621172781553e+00,1.440261239538485893e-01
1.000000000000000000e+00,-4.636476090008058160e-01,1.000000000000000000e+00,1.341640786499873839e+00,7.961237618510093317e-02
1.000000000000000000e+00,-5.404195002705838302e-01,1.000000000000000000e+00,1.166190378969060193e+00,2.488046896513943992e-02
1.000000000000000000e+00,-6.435011087932839269e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.404195002705842743e-01,1.000000000000000000e+00,1.166190378969059083e+00,2.488046896513905135e-02
1.000000000000000000e+00,4.636476090008061490e-01,1.000000000000000000e+00,1.341640786499873172e+00,7.961237618510091929e-02
1.000000000000000000e+00,4.048917862850833771e-01,1.000000000000000000e+00,1.523154621172781109e+00,1.440261239538484506e-01
1.000000000000000000e+00,3.587706702705721895e-01,1.000000000000000000e+00,1.708800749063505320e+00,2.082376031648408288e-01
1.000000000000000000e+00,3.217505543966421855e-01,1.000000000000000000e+00,1.897366596101026426e+00,2.681277424949579657e-01
1.000000000000000000e+00,2.914567944778670427e-01,1.000000000000000000e+00,2.088061301782109247e+00,3.223578903048983646e-01
1.000000000000000000e+00,-3.805063771123646243e-01,1.000000000000000000e+00,2.154065922853801496e+00,3.283726480790762348e-01
1.000000000000000000e+00,-4.182243295792287818e-01,1.000000000000000000e+00,1.969771560359220741e+00,2.777184462714420432e-01
1.000000000000000000e+00,-4.636476090008058160e-01,1.000000000000000000e+00,1.788854381999831489e+00,2.225521909999157444e-01
