uinf,t,a,r,ur
1.000000000000000000e+00,7.853981633974482790e-01,1.000000000000000000e+00,2.828427124746190291e+00,3.477317811865475727e-01
1.000000000000000000e+00,8.379812250083900071e-01,1.000000000000000000e+00,2.690724809414742236e+00,3.132063603883604164e-01
1.000000000000000000e+00,8.960553845713439269e-01,1.000000000000000000e+00,2.561249694973139590e+00,2.774315139434784805e-01
1.000000000000000000e+00,9.600703624056879937e-01,1.000000000000000000e+00,2.441311123146740591e+00,2.408196706098937601e-01
1.000000000000000000e+00,1.030376826524312506e+00,1.000000000000000000e+00,2.332380757938120386e+00,2.038880564655888572e-01
1.000000000000000000e+00,1.107148717794090409e+00,1.000000000000000000e+00,2.236067977499789805e+00,1.672135954999579566e-01
1.000000000000000000e+00,1.190289949682531656e+00,1.000000000000000000e+00,2.154065922853801940e+00,1.313490592316305383e-01
1.000000000000000000e+00,1.279339532317029349e+00,1.000000000000000000e+00,2.088061301782110135e+00,9.670736709146966759e-02
1.000000000000000000e+00,1.373400766945015672e+00,1.000000000000000000e+00,2.039607805437114063e+00,6.344231857013678255e-02
1.000000000000000000e+00,1.471127674303734478e+00,1.000000000000000000e+00,2.009975124224177900e+00,3.137314358721795399e-02
1.000000000000000000e+00,1.570796326794896336e+00,1.000000000000000000e+00,2.000000000000000000e+00,8.852404527574967533e-17
1.000000000000000000e+00,-1.471127674303734922e+00,1.000000000000000000e+00,2.009975124224177900e+00,3.137314358721780827e-02
1.000000000000000000e+00,-1.373400766945016116e+00,1.000000000000000000e+00,2.039607805437113619e+00,6.344231857013658826e-02
1.000000000000000000e+00,-1.279339532317029793e+00,1.000000000000000000e+00,2.088061301782109691e+00,9.670736709146945942e-02
1.000000000000000000e+00,-1.190289949682532100e+00,1.000000000000000000e+00,2.154065922853801496e+00,1.313490592316303440e-01
1.000000000000000000e+00,-1.107148717794090853e+00,1.000000000000000000e+00,2.236067977499789361e+00,1.672135954999577623e-01
1.000000000000000000e+00,-1.030376826524312728e+00,1.000000000000000000e+00,2.332380757938119942e+00,2.038880564655887184e-01
1.000000000000000000e+00,-9.600703624056882157e-01,1.000000000000000000e+00,2.441311123146740147e+00,2.408196706098936490e-01
1.000000000000000000e+00,-8.960553845713442600e-01,1.000000000000000000e+00,2.561249694973138702e+00,2.774315139434782584e-01
1.000000000000000000e+00,-8.379812250083903402e-01,1.000000000000000000e+00,2.690724809414741348e+00,3.132063603883601388e-01
1.000000000000000000e+00,-7.853981633974485010e-01,1.000000000000000000e+00,2.828427124746189403e+00,3.477317811865473507e-01
1.000000000000000000e+00,7.328151017865066619e-01,1.000000000000000000e+00,2.690724809414742236e+00,3.480070670981781911e-01
1.000000000000000000e+00,7.853981633974482790e-01,1.000000000000000000e+00,2.545584412271570951e+00,3.118735850274255150e-01
1.000000000000000000e+00,8.441539861131710509e-01,1.000000000000000000e+00,2.408318915758459244e+00,2.743519482234988982e-01
1.000000000000000000e+00,9.097531579442097449e-01,1.000000000000000000e+00,2.280350850198276103e+00,2.359820336332636714e-01
1.000000000000000000e+00,9.827937232473290541e-01,1.000000000000000000e+00,2.163330765278393741e+00,1.974790697733334877e-01
1.000000000000000000e+00,1.063697822402559501e+00,1.000000000000000000e+00,2.059126028197399982e+00,1.596817350234167321e-01
1.000000000000000000e+00,1.152571997215667388e+00,1.000000000000000000e+00,1.969771560359221185e+00,1.234304205650854636e-01
1.000000000000000000e+00,1.249045772398254206e+00,1.000000000000000000e+00,1.897366596101027758e+00,8.937591416498615049e-02
1.000000000000000000e+00,1.352127380920954414e+00,1.000000000000000000e+00,1.843908891458577504e+00,5.776090764564585645e-02
1.000000000000000000e+00,1.460139105621000688e+00,1.000000000000000000e+00,1.811077027627483460e+00,2.826317390352003911e-02
1.000000000000000000e+00,1.570796326794896336e+00,1.000000000000000000e+00,1.800000000000000044e+00,7.149925632148343362e-17
1.000000000000000000e+00,-1.460139105621001354e+00,1.000000000000000000e+00,1.811077027627483238e+00,2.826317390351985523e-02
1.000000000000000000e+00,-1.352127380920954858e+00,1.000000000000000000e+00,1.843908891458577504e+00,5.776090764564573848e-02
1.000000000000000000e+00,-1.249045772398254650e+00,1.000000000000000000e+00,1.897366596101027536e+00,8.937591416498601171e-02
1.000000000000000000e+00,-1.152571997215667832e+00,1.000000000000000000e+00,1.969771560359220741e+00,1.234304205650852554e-01
1.000000000000000000e+00,-1.063697822402560167e+00,1.000000000000000000e+00,2.059126028197399538e+00,1.596817350234165933e-01
1.000000000000000000e+00,-9.827937232473293871e-01,1.000000000000000000e+00,2.163330765278393297e+00,1.974790697733333489e-01
1.000000000000000000e+00,-9.097531579442099670e-01,1.000000000000000000e+00,2.280350850198275658e+00,2.359820336332635604e-01
1.000000000000000000e+00,-8.441539861131712730e-01,1.000000000000000000e+00,2.408318915758458356e+00,2.743519482234986762e-01
1.000000000000000000e+00,-7.853981633974486121e-01,1.000000000000000000e+00,2.545584412271570507e+00,3.118735850274253485e-01
1.000000000000000000e+00,-7.328151017865068839e-01,1.000000000000000000e+00,2.690724809414741348e+00,3.480070670981779135e-01
1.000000000000000000e+00,6.747409422235527421e-01,1.000000000000000000e+00,2.561249694973139590e+00,3.467893924293480867e-01
1.000000000000000000e+00,7.266423406817256181e-01,1.000000000000000000e+00,2.408318915758459244e+00,3.086459417514362258e-01
1.000000000000000000e+00,7.853981633974482790e-01,1.000000000000000000e+00,2.262741699796952499e+00,2.688743593115475727e-01
1.000000000000000000e+00,8.519663271732720311e-01,1.000000000000000000e+00,2.126029162546930085e+00,2.281655053546173262e-01
1.000000000000000000e+00,9.272952180016121870e-01,1.000000000000000000e+00,2.000000000000000000e+00,1.875000000000000278e-01
1.000000000000000000e+00,1.012197011451334117e+00,1.000000000000000000e+00,1.886796226411320943e+00,1.481027147790922316e-01
1.000000000000000000e+00,1.107148717794090409e+00,1.000000000000000000e+00,1.788854381999832155e+00,1.112760954999580387e-01
1.000000000000000000e+00,1.212025656524324368e+00,1.000000000000000000e+00,1.708800749063506430e+00,7.808910118681543222e-02
1.000000000000000000e+00,1.325817663668032331e+00,1.000000000000000000e+00,1.649242250247064501e+00,4.898026171453371408e-02
1.000000000000000000e+00,1.446441332248134870e+00,1.000000000000000000e+00,1.612451549659710048e+00,2.344301861287714436e-02
1.000000000000000000e+00,1.570796326794896336e+00,1.000000000000000000e+00,1.600000000000000089e+00,5.228451424098965592e-17
1.000000000000000000e+00,-1.446441332248135536e+00,1.000000000000000000e+00,1.612451549659710048e+00,2.344301861287702293e-02
1.000000000000000000e+00,-1.325817663668032775e+00,1.000000000000000000e+00,1.649242250247064279e+00,4.898026171453359612e-02
1.000000000000000000e+00,-1.212025656524324591e+00,1.000000000000000000e+00,1.708800749063506208e+00,7.808910118681534895e-02
1.000000000000000000e+00,-1.107148717794090853e+00,1.000000000000000000e+00,1.788854381999831489e+00,1.112760954999577889e-01
1.000000000000000000e+00,-1.012197011451334561e+00,1.000000000000000000e+00,1.886796226411320498e+00,1.481027147790920095e-01
1.000000000000000000e+00,-9.272952180016125201e-01,1.000000000000000000e+00,1.999999999999999778e+00,1.874999999999998890e-01
1.000000000000000000e+00,-8.519663271732723642e-01,1.000000000000000000e+00,2.126029162546929641e+00,2.281655053546171874e-01
1.000000000000000000e+00,-7.853981633974486121e-01,1.000000000000000000e+00,2.262741699796951611e+00,2.688743593115473507e-01
1.000000000000000000e+00,-7.266423406817259512e-01,1.000000000000000000e+00,2.408318915758458356e+00,3.086459417514359482e-01
1.000000000000000000e+00,-6.747409422235528531e-01,1.000000000000000000e+00,2.561249694973138702e+00,3.467893924293479202e-01
1.000000000000000000e+00,6.107259643892086753e-01,1.000000000000000000e+00,2.441311123146740591e+00,3.440281008712767763e-01
1.000000000000000000e+00,6.610431688506869241e-01,1.000000000000000000e+00,2.280350850198276103e+00,3.034054718141961371e-01
1.000000000000000000e+00,7.188299996216245269e-01,1.000000000000000000e+00,2.126029162546930085e+00,2.607605775481340871e-01
1.000000000000000000e+00,7.853981633974482790e-01,1.000000000000000000e+00,1.979898987322333381e+00,2.169464313323201943e-01
1.000000000000000000e+00,8.621700546672262933e-01,1.000000000000000000e+00,1.843908891458577726e+00,1.732827229369374722e-01
1.000000000000000000e+00,9.505468408120750778e-01,1.000000000000000000e+00,1.720465053408525513e+00,1.315486392998122811e-01
1.000000000000000000e+00,1.051650212548373542e+00,1.000000000000000000e+00,1.612451549659710270e+00,9.377207445150843867e-02
1.000000000000000000e+00,1.165904540509812959e+00,1.000000000000000000e+00,1.523154621172781997e+00,6.172548169450669392e-02
1.000000000000000000e+00,1.292496667789785114e+00,1.000000000000000000e+00,1.456021977856103877e+00,3.620208197356178381e-02
1.000000000000000000e+00,1.428899272190732539e+00,1.000000000000000000e+00,1.414213562373095145e+00,1.642135623730951732e-02
1.000000000000000000e+00,1.570796326794896336e+00,1.000000000000000000e+00,1.400000000000000133e+00,3.138345161962436913e-17
