time_stamp,max_are,compl,dim_penalty,age,minus_spearman,valid,max_ae,q75_are,n_params,eqs_orig,minus_r2,mse,mare,custom_compl,ms_processed_e,mae,eqs_orig_rounded
1846.2248470783234,64.86806371440886,2.0,0.0,150.0,-0.017425983403951382,true,0.5036361837963247,1.0080999824129266,1.0,0.000544983796324736,2.9098234133329015e-6,0.008897811114523148,1.0008319400326489,2.0,0.008897811114523148,0.05706319961315149,0.000545
3036.159506082535,919.4044715952876,4.0,0.0,123.0,-0.09465307979334348,true,0.4958693405237623,1.4082870398209077,1.0,(-0.00832537864803318/v2),-0.023685384785849584,0.008687037756778001,1.3559146847903172,4.0,0.008687037756778001,0.05789359786604143,(-0.00833/v2)
6588.341942071915,1704.0083344714026,5.0,0.0,48.0,-0.8131783503030608,true,0.6901972453747204,2.1919853780705525,1.0,(-0.010606253178395/sin(v2)),-0.06662654916040422,0.008304956498924513,1.8758760116989472,6.0,0.008304956498924513,0.05875503489911588,(-0.0106/sin(v2))
834.7520771026611,1353.5373434337357,7.0,0.0,177.0,-0.8131783451962183,true,0.4273653161824904,3.3829934913445614,1.0,(-0.0841444401841234*cos((v2+v2))),-0.3504538154777572,0.005779522442648395,2.995261431765877,8.0,0.005779522442648395,0.05412487597987105,(-0.0841*cos((v2+v2)))
3489.539209127426,1799.4359769719154,8.0,0.0,113.0,-0.8131783422056351,true,0.3393600336333263,2.7393698656965735,2.0,((0.292234824208526*sin(v2))-0.229092825681721),-0.45035712509095005,0.004890604250589447,2.9724990542289396,9.0,0.004890604250589447,0.049362910226031946,((0.292*sin(v2))-0.229)
6260.428661108017,1135.593723276508,9.0,0.0,54.0,-0.866280171641658,true,0.3613965824666967,3.1796689196597407,1.0,(cos((v2+v2))*(-0.159339316122033/v1)),-0.5260556169426007,0.004217055328347615,2.9581375458816073,10.0,0.004217055328347615,0.04768369150474148,(cos((v2+v2))*(-0.159/v1))
5025.238937139511,821.6073939351079,10.0,2.0,79.0,-0.8589728459167649,true,0.3389630914773987,1.0300241379742106,2.0,((-0.778896520246095+sin(v2))/(v1^3.20677301695086)),-0.8513259324503228,0.0013228699213670124,1.5679829079118015,12.0,0.0013228699213670124,0.024822610961459244,((-0.779+sin(v2))/(v1^3.21))
5559.404917001724,1848.3293882212736,10.0,0.0,68.0,-0.871576866057071,true,0.26817781135990926,2.5357389061867432,2.0,((0.553081134571567*(-0.783478671037886+sin(v2)))/v1),-0.671441045962274,0.002923447006298432,2.863580170278358,11.0,0.002923447006298432,0.0395765329478255,((0.553*(-0.783+sin(v2)))/v1)
8488.848994016647,1426.790072330888,12.0,0.0,12.0,-0.8720603647082328,true,0.23499081656621038,1.7730854878041413,2.0,((-0.781676615342854+sin(v2))*((0.802442587178469/v1)/v1)),-0.8117996928688237,0.0016745659118573533,2.249881090734784,13.0,0.0016745659118573533,0.029469528223474796,((-0.782+sin(v2))*((0.802/v1)/v1))
4429.67822599411,467.4620494538717,13.0,2.0,92.0,-0.8772889490646976,true,0.36271346565594903,0.960465415009284,3.0,((-0.777827852560767+cos((-8741.42972092554+v2)))/(v1^3.21327971461852)),-0.8713644870993353,0.0011445711659099427,1.4110149605890603,15.0,0.0011445711659099427,0.022674776065462,((-0.778+cos((-8740.0+v2)))/(v1^3.21))
7474.001640081406,1005.2413606940689,13.0,0.0,31.0,-0.8734584785699105,true,0.36038477451273515,1.374443463501058,3.0,((0.140752970023236+(sin(v2)/-5.52287999115697))/(0.825913447832484-v1)),-0.8389903796794553,0.0014326290205358284,1.8322895752001198,14.0,0.0014326290205358284,0.0261479711964209,((0.141+(sin(v2)/-5.52))/(0.826-v1))
8941.92466711998,2930.4613141580667,15.0,0.0,3.0,-0.8952059233373398,true,0.24596362133544514,2.009798682326022,3.0,((-0.0607541587637545+(-0.288229578432826*(cos((2.08861520828931*v2))/v1)))/v1),-0.8462327088403742,0.001368188331143796,2.6289864107346923,16.0,0.001368188331143796,0.027512341743994143,((-0.0608+(-0.288*(cos((2.09*v2))/v1)))/v1)
