time,generation,mean age hall_of_fame,mean compl,mean recursive_compl,mean n_params,min mae,min mse,min max_ae,min minus_r2,min mare,min q75_are,min max_are,min ms_processed_e,min minus_spearman,max penalty
12.187701940536499,1.0,0.0,5.333333333333333,21973.333333333332,0.6666666666666666,0.09470585901012415,0.011987542386072988,0.18064143779398023,-0.9934086184836024,0.007321018734783222,0.011588019646910665,0.012822700081448826,0.011987542386072988,-1.0,0.0
17.990092992782593,12.0,5.666666666666667,3.6666666666666665,4.0,1.3333333333333333,3.327253003030469e-14,1.4610917596855017e-27,8.704148513061227e-14,-1.0,2.582263074820811e-15,3.3308087374690763e-15,5.6595321408299774e-15,1.4610917596855017e-27,-1.0,0.0
24.10141897201538,27.0,20.666666666666668,3.6666666666666665,4.0,1.3333333333333333,3.327253003030469e-14,1.4610917596855017e-27,8.704148513061227e-14,-1.0,2.582263074820811e-15,3.3308087374690763e-15,5.6595321408299774e-15,1.4610917596855017e-27,-1.0,0.0
29.98968505859375,38.0,24.25,4.75,5.5,1.75,3.0129744852904245e-14,1.0814676194499132e-27,5.861977570020827e-14,-1.0,2.3541609314348203e-15,2.895264524645087e-15,4.481404160296225e-15,1.0814676194499132e-27,-1.0,0.0
35.0474910736084,46.0,31.0,4.75,5.5,1.75,2.9514852100804164e-14,1.0478500085658794e-27,5.684341886080802e-14,-1.0,2.3073344431743332e-15,2.890960358223444e-15,4.402110017044272e-15,1.0478500085658794e-27,-1.0,0.0
40.28708600997925,58.0,15.2,5.2,8.0,1.8,2.9514852100804164e-14,1.0478500085658794e-27,5.684341886080802e-14,-1.0,2.3073344431743332e-15,2.890960358223444e-15,4.402110017044272e-15,1.0478500085658794e-27,-1.0,0.0
45.35775589942932,70.0,14.0,5.8,26219.2,2.0,2.9036602182504095e-14,1.0209073745721772e-27,5.1514348342607263e-14,-1.0,2.27449158620045e-15,2.752367910561787e-15,4.584561193144259e-15,1.0209073745721772e-27,-1.0,0.0
50.67918801307678,80.0,16.166666666666668,5.833333333333333,12.333333333333334,2.0,2.876331651490406e-14,1.0001542646040551e-27,4.973799150320701e-14,-1.0,2.2566037970220435e-15,2.6301897992982986e-15,4.087673587255396e-15,1.0001542646040551e-27,-1.0,0.0
55.840494871139526,93.0,28.5,5.833333333333333,12.333333333333334,2.0,2.876331651490406e-14,1.0001542646040551e-27,4.973799150320701e-14,-1.0,2.2566037970220435e-15,2.7901647032543888e-15,4.087673587255396e-15,1.0001542646040551e-27,-1.0,0.0
62.00927710533142,106.0,26.0,7.75,2.894802230932905e76,2.375,2.862667368110404e-14,9.983338163612373e-28,4.973799150320701e-14,-1.0,2.2468438635894857e-15,2.7471868857456958e-15,4.087673587255396e-15,9.983338163612373e-28,-1.0,0.0
