Ux,Uy,Umag
0.6077767073105869,-0.11600970628841795,0.6187493659814317
0.6009226706933692,-0.11945434144230435,0.6126805006221971
0.5954410906757918,-0.12106718230879818,0.6076243536078588
0.5915279607141335,-0.1201117022336596,0.603599328462258
0.5892647829070998,-0.11578657990738972,0.6005326939153286
0.5885634921400388,-0.10733126291998996,0.5982699927959596
0.5891338840757822,-0.09418628738543244,0.5966152781296071
0.5904992327429645,-0.0761843144124222,0.5953934779895733
0.5920744498639705,-0.053716165897454746,0.5945061653679011
0.5932940334692138,-0.027799784257410753,0.5939449790636564
0.59375,-7.967164074817471e-17,0.59375
0.5932940334692138,0.027799784257410635,0.5939449790636564
0.5920744498639704,0.053716165897454635,0.594506165367901
0.5904992327429645,0.07618431441242213,0.5953934779895733
0.5891338840757822,0.09418628738543236,0.5966152781296071
0.5885634921400387,0.10733126291998987,0.5982699927959594
0.5892647829070997,0.11578657990738964,0.6005326939153286
0.5915279607141336,0.12011170223365966,0.6035993284622581
0.5954410906757917,0.12106718230879818,0.6076243536078587
0.6009226706933691,0.11945434144230432,0.612680500622197
0.607776707310587,0.11600970628841811,0.6187493659814319
0.5757045319444384,-0.11945434144230435,0.5879668764401439
0.5656361379285311,-0.12458028423682738,0.579192962449677
0.5569261972607239,-0.1279749606307336,0.5714406178630712
0.5498914891300428,-0.12873680764162715,0.5647599626915963
0.5447398126531924,-0.12581957113590006,0.5590814144382346
0.5414897094450228,-0.11815827368365847,0.5542314345783336
0.5399162105380823,-0.10489068684343482,0.5500105186160446
0.5395665166097429,-0.08564501996289364,0.5463214212263843
0.5398672296095632,-0.06080057814294524,0.5432801633676876
0.5402860716474497,-0.03159468296943583,0.5412090753194853
0.5404663923182442,-8.160241210604086e-17,0.5404663923182442
0.5402860716474496,0.03159468296943564,0.5412090753194851
0.5398672296095632,0.060800578142945115,0.5432801633676876
0.5395665166097431,0.08564501996289357,0.5463214212263845
0.5399162105380821,0.10489068684343476,0.5500105186160443
0.541489709445023,0.11815827368365828,0.5542314345783336
0.5447398126531924,0.1258195711359001,0.5590814144382346
0.5498914891300427,0.12873680764162715,0.5647599626915962
0.5569261972607238,0.1279749606307336,0.5714406178630711
0.5656361379285311,0.12458028423682738,0.579192962449677
0.575704531944438,0.11945434144230432,0.5879668764401436
0.5409608586368326,-0.12106718230879815,0.554342775915129
0.5267098871118007,-0.1279749606307336,0.5420340355824195
0.5136051376969977,-0.1333593721842305,0.5306363723098183
0.5020861469989394,-0.13614630470458824,0.5202175653444961
0.4925,-0.135,0.5106674553953875
0.48498903658572445,-0.1284683707620382,0.5017155448006387
