time_stamp,run,compl,age,dim_penalty,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
449.2797939777374,0,15.0,3765.0,0.0,-1.0,4.609862434426631e-17,1.052655904829778e-15,4.674731290198588e-30,0.3(log(0.0004 / (v1^4)) - 1.33e-8v1)
1795.4972240924835,1,13.0,7.0,0.0,-1.0,8.529490499968823e-16,2.157944604901045e-14,6.067801214677768e-28,1.2log(0.141 / v1) - 4.0e-9v1
1574.2327208518982,2,16.0,477.0,0.0,-1.0,4.288213979683074e-9,1.0513341150739406e-7,1.626731539163156e-14,-0.001594896331738437(1470.0 + 2.506265664160401e-6v1) - 1.2log(v1)
960.9322898387909,3,19.0,1463.0,0.0,-1.0,3.727948365390127e-9,1.0175213389558209e-7,2.4343568471130084e-14,(-(16500.0 + (5.4945054945054945e-5v1) / log(v1))*log(v1)) / 13800.0 - 2.35
1122.5103499889374,4,18.0,2224.0,0.0,-1.0,4.485914123336504e-17,1.052655904829778e-15,3.7397850321588706e-30,-4.019679000000002e-9v1 - 1.2log(7.092198581560284v1)
1615.1428699493408,6,15.0,369.0,0.0,-1.0,1.2235342248495063e-15,2.9342783347130064e-14,1.3075223418685452e-27,0.6(log(0.02 / (v1^2)) - 6.67e-9v1)
1769.6145730018616,7,23.0,65.0,0.0,-1.0,1.7866160997278475e-16,4.473787595526557e-15,3.17881727733504e-29,-3.01 - 1.2(log(v1) - 0.549)
1146.9987819194794,8,15.0,1427.0,0.0,-1.0,3.319330103375944e-17,7.894919286223335e-16,2.804838774119153e-30,-0.2(2.0e-8v1 + log(125000.0(v1^6)))
1217.9035880565643,10,14.0,1153.0,0.0,-1.0,2.161956397478299e-8,5.77188645783727e-7,8.09139349727628e-13,-0.6(6.666666666666667e-9v1 + log(50.29928072028571(v1^2)))
1755.774514913559,11,14.0,88.0,0.0,-1.0,1.575447838523503e-14,3.696138045833558e-13,1.5882633295014214e-25,-4.0e-9v1 - 0.4log(353.35689045936397(v1^3))
1455.080528974533,13,13.0,1032.0,0.0,-1.0,6.643797848764878e-17,1.578983857244667e-15,5.609677548238306e-30,1.2log(0.141 / v1) - 4.0e-9v1
927.697564125061,14,18.0,1820.0,0.0,-1.0,6.2473789510327376e-15,1.5460883602187365e-13,3.856793556352541e-26,-0.3(1.33e-8v1 - log(0.0004v1)) - log(sqrt(abs(v1^3)))
905.9205060005188,15,21.0,2358.0,0.0,-1.0,5.245090815630784e-17,1.1842378929335002e-15,5.142204419218447e-30,2.3980815347721824(-0.978 - 1.6701e-9v1 - log(sqrt(abs(v1))))
1513.106013059616,16,14.0,677.0,0.0,-1.0,3.319330103375944e-17,7.894919286223335e-16,2.804838774119153e-30,0.4(log((0.141 / v1)^3) - 1.0e-8v1)
819.8882911205292,17,21.0,3037.0,0.0,-1.0,5.954428339699249e-17,1.3158198810372225e-15,4.674731290198588e-30,-1.2004801920768309(3.34849488596615e-9v1 + log(7.092198581560284v1))
1531.0271620750427,18,19.0,564.0,0.0,-1.0,5.205891024437983e-16,1.2105542905542448e-14,1.804446278016655e-28,-2.35 - (1.2 + (9.82e-5v1) / (24570.02457002457log(v1)))*log(v1)
454.4803719520569,19,19.0,2526.0,0.0,-1.0,8.665297553622302e-9,2.1665231531431818e-7,5.92918267530481e-14,(-(167000.0 + v1 / (1800.0log(v1)))*log(v1)) / 139000.0 - 2.35
1722.9573760032654,20,16.0,91.0,0.0,-1.0,1.9023644020704378e-8,4.291819879898429e-7,2.3967448835370486e-13,-0.002109704641350211(1110.0 + 1.8975332068311195e-6v1) - 1.2log(v1)
1737.2626209259033,21,13.0,71.0,0.0,-1.0,2.0572860625721945e-9,5.4563448936017233e-8,4.345060450543437e-15,1.2log(0.141 / v1) - 4.0e-9v1
1374.1068580150604,22,15.0,1136.0,0.0,-1.0,5.168916792533199e-17,1.1842378929335002e-15,4.2072581611787294e-30,0.2(-2.0e-8v1 - log(124861.09203511095(v1^6)))
1491.6708409786224,23,15.0,704.0,0.0,-1.0,8.060888772825011e-16,2.0658372132284395e-14,6.586696387889811e-28,-0.4log(353.35689045936397(v1^3)*exp(1.0e-8v1))
1399.777433872223,24,21.0,786.0,0.0,-1.0,2.0724792903102383e-16,4.605369583630279e-15,3.506048467648941e-29,-2.35 - 0.000101(1 + 3.96e-5v1) - 0.4log(v1^3)
435.0163290500641,25,16.0,4015.0,0.0,-1.0,2.5540555218684518e-9,6.796048273932447e-8,9.451796559052703e-15,-2.35 - 3.997233914131421e-9v1 - 1.2log(v1)
1513.1055450439453,26,13.0,709.0,0.0,-1.0,5.01870056438645e-17,1.1842378929335002e-15,5.142204419218447e-30,1.2log(0.141 / v1) - 4.0e-9v1
1459.1155180931091,27,13.0,641.0,0.0,-1.0,0.004167648811942963,0.10488016591065506,0.01906617510920045,1.2658227848101264(-1.0 - 2.92e-9v1 - log(v1))
1196.469714164734,28,19.0,1366.0,0.0,-1.0,3.319330103375944e-17,7.894919286223335e-16,2.804838774119153e-30,-0.4(1.0e-8v1 + log(353.98230088495575(v1^3)))
1786.1776461601257,29,13.0,32.0,0.0,-1.0,2.524341004209489e-11,8.183689117315764e-10,3.1926404973990737e-18,-4.0e-9v1 - 1.2log(7.092198581560284v1)
531.0921709537506,30,19.0,1583.0,0.0,-1.0,2.2547354072626334e-10,6.163629014584633e-9,1.105696852522039e-16,1.2004801920768309(-2.0 - 3.338709677419355e-9v1 - log(v1))
